issued_at,link,title,question,answer,fatwa_number,dar_ul_ifta,kitab,bab,fasal
2023-09-17,https://onlinefatawa.com/view_fatwa_unicode/67748,ابرش اور مرحا نام رکھنا کیساہے,"<p class=""text-justify urdu resizable"">اسلام و علیکم! اللہ پاک نے مجھے پیاری سی بیٹی عطا کی ابرش یا مرحا نام رکھنا کیسا ہے؟ یا کوئی جدید اسلامی نام تجویز فرما دیں۔</p>","<h5 class=""text-center amiri""> <strong> الجوابُ  حامِدا ًو مُصلیِّا ً   </strong></h5><p class=""text-justify urdu resizable""> ابرش کا معنی ہے چتکبرا، سیاہ سفید دبہ والا ہونا، اور ""مرَ حا""را پر زبر کے ساتھ تلفظ کرنے کی صورت میں اس کا مطلب ہے"" تکبر کرنا"" معنی کے اعتبار سے یہ دنوں نامناسب نہیں ہے، لہذا ان ناموں کے بجائے صحابیات رضی اللہ عنہن کے ناموں سے کوئی نام یا کوئی دوسرا اچھا بامعنی نام رکھنا چاہیۓ۔<br>
بطور نمونہ چند نام درج کیے جاتے ہیں:<br>
خدیجہ، عائشہ، صفیہ، خنساء، حفصہ، میمونہ، زینب، رقیہ، سمیہ،کلثوم،فاطمہ،ام اَیمن، ام سُلَیم، اسماء، جُوَیریہ،بریرة </br></br></p><p class=""text-justify hawala amiri resizable""> </p><div class=""ftw-writer amiri"">
<div class=""row"">
<div class=""col-md-8 col-sm-8 col-lg-8""></div>
<div class=""col-md-4 col-sm-4 col-lg-4 text-center"">
                                                            واللہ تعالی اعلم بالصواب  <br/><a href=""https://onlinefatawa.com/fatawa/writer_profile/8"">شفیع اللہ </a> عُفی  عنه  <br/> دار الافتاء جامعه بنوریه عالمیه                                                          <br/>
<a class=""text-center print-only"" href=""https://onlinefatawa.com/view_fatwa_unicode/67748""> فتوی  نمبر   67748کی تصدیق کریں  </a>
</div>
<div class=""col-md-1 col-sm-1""></div>
</div>
</div>",67748,binoria,معاشرت زندگی , بچوں کے اسلامی نام , نام کا معنی
2023-09-17,https://onlinefatawa.com/view_fatwa_unicode/67751,بغیر وضو اور چپل پہن کر قرآن مجید کی تلاوت کرنے کا حکم,"<p class=""text-justify urdu resizable"">سوال:اسلام علیکم محترم 1-کیا قرآن کریم کی تلاوت دیکھ کر پڑھنا بغیر وضو جائز ھے ۔ 2-کیا قرآن پاک کی تلاوت جوتا پہن کر کی جا سکتی ھے جبکہ کوی عذر نہیں براہ کرم قرآن اور حدیث کی روشنی میں جواب مرحمت فرمایے گا اگر ممکن ھو سکے تو آیت نمبر یا حدیث نمبر ریفرنس بھی عطا فرما دیجیے گا ۔ جزاک اللہ واسلام سلمان سرور</p>","<h5 class=""text-center amiri""> <strong> الجوابُ  حامِدا ًو مُصلیِّا ً   </strong></h5><p class=""text-justify urdu resizable""> جواب سے پہلے بطور تمہید یہ بات ذہن میں رکھنی چاہیے، کہ  ہرمسئلہ کا ذکر صراحتا قرآن یا حدیث میں نہیں ہوتا، کہ جواب دیتے وقت بطور ریفرنس آیت نمبر یا حدیث نمبر درج کرلیاجائے، بلکہ بسا اوقات فقہائے کرام قرآن وسنت کی نصوص کو سامنے رکھ کر اس سے احکام مستنبط کرتے ہیں، جس میں بطور حوالہ فقہائے کرام کی عبارت درج کی جاتی ہے۔جہاں تک سائل کے سوال کا تعلق ہے وہ بھی فقہی نوعیت کا ہےاور اس پر بھی بطور حوالہ فقہی عبارات ہی درج ہوں گی۔<br>
لہذا فقہائے کرام کی تصریحات کے مطابق بغیر وضو کے زبانی طورپر قران کریم کی تلاوت کرنے میں کوئی حرج نہیں، اسی طرح اگر قرآن کریم کو ہاتھ لگائے بغیر کسی کپڑے وغیرہ کے ذریعہ اس کے اوراق کو  پلٹا جائے، تو بھی دیکھ کر بغیر وضو کے تلاوت کی جاسکتی ہے، تاہم بغیر وضو کے قرآن کریم کو ہاتھ لگانا شرعادرست نہیں۔اسی طرح جوتے پہن کر بھی قرآن کریم کی تلاوت کرنے میں کوئی حرج نہیں ہے، تاہم اگر کوئی ادباجوتے اتار کرتلاوت کرلے تو یہ زیادہ بہترہے۔ </br></p><h5 class=""text-center amiri""> <strong>  مأخَذُ الفَتوی   </strong></h5><p class=""text-justify hawala amiri resizable""> ففی خلاصة الفتاویٰ:<br>
""ولایکره للمحدث قراءة القرآن عن ظهر القلب"". اھ ( 104/1)<br/>
وفی الفتاوی الھندیۃ:<br/>
ولا بأس بالقراء ة راکبا وماشیا إذا لم یکن ذلک الموضع معدًّا للنجاسة․․․ کذا ف القنیة ( ۵/۳۱۶) </br></p><div class=""ftw-writer amiri"">
<div class=""row"">
<div class=""col-md-8 col-sm-8 col-lg-8""></div>
<div class=""col-md-4 col-sm-4 col-lg-4 text-center"">
                                                            واللہ تعالی اعلم بالصواب  <br/><a href=""https://onlinefatawa.com/fatawa/writer_profile/8"">شفیع اللہ </a> عُفی  عنه  <br/> دار الافتاء جامعه بنوریه عالمیه                                                          <br/>
<a class=""text-center print-only"" href=""https://onlinefatawa.com/view_fatwa_unicode/67751""> فتوی  نمبر   67751کی تصدیق کریں  </a>
</div>
<div class=""col-md-1 col-sm-1""></div>
</div>
</div>",67751,binoria,آداب , شعائر اسلام , قرآن و حدیث کے آداب و احکام
2023-09-18,https://onlinefatawa.com/view_fatwa_unicode/67762,"""عرشمان"" نام رکھنا","<p class=""text-justify urdu resizable"">""عرشمان"" نام رکھنا کیسا ہے ؟</p>","<h5 class=""text-center amiri""> <strong> الجوابُ  حامِدا ًو مُصلیِّا ً   </strong></h5><p class=""text-justify urdu resizable""> ""عرشمان""  دراصل دو الگ الگ الفاظ کا مجموعہ ہے، عرش کا معنی ہے آسمان، تخت اور بلندی، جبکہ مان کا معنی غرو ، تکبر اور گھمنڈ  , لہذا معنی کے اعتبار سے یہ نام درست معلوم نہیں ہو رہاہے ، اس لۓ  اس نام کے بجائے ، انبیاء کرام علیہم السلام یا حضرات صحابہ کرام رضی اللہ عنہم اجمعین کےناموں میں سے کوئی اچھا نام تجویز کرنا چاہیۓ۔ </p><p class=""text-justify hawala amiri resizable""> </p><div class=""ftw-writer amiri"">
<div class=""row"">
<div class=""col-md-8 col-sm-8 col-lg-8""></div>
<div class=""col-md-4 col-sm-4 col-lg-4 text-center"">
                                                            واللہ تعالی اعلم بالصواب  <br/><a href=""https://onlinefatawa.com/fatawa/writer_profile/8"">شفیع اللہ </a> عُفی  عنه  <br/> دار الافتاء جامعه بنوریه عالمیه                                                          <br/>
<a class=""text-center print-only"" href=""https://onlinefatawa.com/view_fatwa_unicode/67762""> فتوی  نمبر   67762کی تصدیق کریں  </a>
</div>
<div class=""col-md-1 col-sm-1""></div>
</div>
</div>",67762,binoria,معاشرت زندگی , بچوں کے اسلامی نام , نام کا معنی
,https://onlinefatawa.com/view_fatwa_unicode/67764,بچے کی قے اور دیگر نجاسات سے بدن کو پاک کرنے کا طریقہ,"<p class=""text-justify urdu resizable"">بدن پر  لگی ناپاکی کیسے پاک کریں؟ بچے کی قے وغیرہ  لگی ہوئی  ناپاک جگہ پر پانی کا بہانا ضروری ہے یا گیلے کپڑے سے تین مرتبہ بدن کو پونچھنے سے پاک ہو جائےگا ؟</p>","<h5 class=""text-center amiri""> <strong> الجوابُ  حامِدا ًو مُصلیِّا ً   </strong></h5><p class=""text-justify urdu resizable""> بچے کی قے  اگر منہ بھر کر ہو ، تو  بڑوں کی قے کی طرح وہ بھی ناپاک ہے، جبکہ  جسم پر لگی ہوئی نجاست کو پاک کرنے کے لۓ محض گیلے کپڑے سے اسے پونچھنا کافی نہیں ، بلکہ اسے باقاعدہ تین دفعہ دھونا ضروری ہے، ورنہ جسم کا وہ حصہ پاک نہ ہوگا ، اور اسے پاک کیے بغیر نماز بھی درست نہ ہوگی۔ </p><h5 class=""text-center amiri""> <strong>  مأخَذُ الفَتوی   </strong></h5><p class=""text-justify hawala amiri resizable""> کما فی الدر المختار :(و) يطهر محل (غيرها) أي : غير مرئية (بغلبة ظن غاسل) لو مكلفاً و إلا فمستعمل (طهارة محلها) بلا عدد ، به يفتى. (و قدر) ذلك لموسوس (بغسل و عصر ثلاثاً) أو سبعاً (فيما ينعصر) مبالغاً بحيث لايقطر(الی قولہ)و هذا كله إذا غسل في إجانة ، أما لو غسل في غدير أو صب عليه ماء كثيرا ، أو جرى عليه الماء طهر مطلقاً بلا شرط عصر و تجفيف و تكرار غمس ، هو المختار. اھ(1/ 331)۔ </p><div class=""ftw-writer amiri"">
<div class=""row"">
<div class=""col-md-8 col-sm-8 col-lg-8""></div>
<div class=""col-md-4 col-sm-4 col-lg-4 text-center"">
                                                            واللہ تعالی اعلم بالصواب  <br/><a href=""https://onlinefatawa.com/fatawa/writer_profile/8"">شفیع اللہ </a> عُفی  عنه  <br/> دار الافتاء جامعه بنوریه عالمیه                                                          <br/>
<a class=""text-center print-only"" href=""https://onlinefatawa.com/view_fatwa_unicode/67764""> فتوی  نمبر   67764کی تصدیق کریں  </a>
</div>
<div class=""col-md-1 col-sm-1""></div>
</div>
</div>",67764,binoria,طہارت و نجاست , پاکی و ناپاکی کے احکام , نجاسات اور پاکی
2023-09-18,https://onlinefatawa.com/view_fatwa_unicode/67767,والد کا کسی ایک بیٹے کو ہدیہ دینا,"<p class=""text-justify urdu resizable"">کیا باپ اپنی زندگی میں کسی ایک اولاد کو گفٹ دے سکتاہے؟ جبکہ باقی اولاد کو محروم رکھے، قران و سنت میں روشنی میں راہنمائی کردیں۔</p>","<h5 class=""text-center amiri""> <strong> الجوابُ  حامِدا ًو مُصلیِّا ً   </strong></h5><p class=""text-justify urdu resizable""> واضح ہو کہ ہر شخص اپنی صحت والی زندگی میں مرض الوفات میں مبتلاہونے سے قبل اپنی تمام مال و جائیداد کا تنہامالک ہوتاہے، وہ جس طرح چاہے اس میں تصرف کرسکتاہے، اس پر اس کی تقسیم لازم اور ضروری نہیں اور نہ ہی اولاد میں سے کسی کو یہ حق حاصل ہے، کہ وہ اس کو اس تقسیم پر مجبورکرے،البتہ اگرکوئی شخص اپنی صحت والی زندگی میں بلاجبرواکراہ محض اپنی مرضی وخوشی سےاپنا مال وجائیداد اپنی اولاد میں تقسیم کرنا چاہے تو اسے اس کا اختیارہے، اور یہ تقسیمِ ترکہ نہیں بلکہ ہبہ (گفٹ) کا کہلائیگا۔ جس کا بہترطریقہ یہ ہے کہ وہ اپنی بقیہ زندگی کے لۓ جو کچھ رکھنا چاہے وہ رکھ کر اور اگربیوی کو کچھ دینا چاہےوہ انہیں دیکر بقیہ مال و جائیداد تمام اولاد (بیٹوں، بیٹیوں) کے درمیان برابرتقسیم کرکے ہر ایک کو اس کے حصہ پر باقاعدہ مالک وقابض بھی بنادے، تاکہ یہ ہبہ اور گفٹ شرعاًبھی درست اور تام ہوسکے ،محض کاغذات میں نام کردیناکافی نہیں ، تاہم اگر وہ اپنی اولاد میں سے کسی کو اس کی خدمت گزاری ، محتاجگی یا دینداری وغیرہ کی وجہ سے دوسروں کے مقابلہ میں کچھ زیادہ دینا چاہے، تو اس کا بھی اسے اختیارہے، مگربلاوجہ کسی وارث کو اپنی جائیداد سے بالکلیہ محروم نہ کرے، کہ گناہ کی بات ہے۔ </p><h5 class=""text-center amiri""> <strong>  مأخَذُ الفَتوی   </strong></h5><p class=""text-justify hawala amiri resizable""> فی مشکاۃ المصابیح :<br>
 و عن النعمان بن بشير أن أباه أتى به إلى رسول الله صلى الله عليه وسلم فقال: إني نحلت ابني هذا غلاماً، فقال: «أكل ولدك نحلت مثله؟» قال: لا قال: «فأرجعه» و في رواية قال: «فاتقوا الله واعدلوا بين أولادكم»'۔اھ ((1/261باب العطایا، ط: قدیمی)۔ </br></p><div class=""ftw-writer amiri"">
<div class=""row"">
<div class=""col-md-8 col-sm-8 col-lg-8""></div>
<div class=""col-md-4 col-sm-4 col-lg-4 text-center"">
                                                            واللہ تعالی اعلم بالصواب  <br/><a href=""https://onlinefatawa.com/fatawa/writer_profile/8"">شفیع اللہ </a> عُفی  عنه  <br/> دار الافتاء جامعه بنوریه عالمیه                                                          <br/>
<a class=""text-center print-only"" href=""https://onlinefatawa.com/view_fatwa_unicode/67767""> فتوی  نمبر   67767کی تصدیق کریں  </a>
</div>
<div class=""col-md-1 col-sm-1""></div>
</div>
</div>",67767,binoria,معاملات , مالی معاوضات , ہدیہ
2023-09-18,https://onlinefatawa.com/view_fatwa_unicode/67770,طلاق کے بعد میاں بیوی کا ایک گھر میں رہنا,"<p class=""text-justify urdu resizable"">کیا طلاق کے بعد  والدین بچوں کے چھوٹے ہونے کی وجہ سے ایک مکان میں رہائش اختیار کرسکتے ہیں؟</p>","<h5 class=""text-center amiri""> <strong> الجوابُ  حامِدا ًو مُصلیِّا ً   </strong></h5><p class=""text-justify urdu resizable""> اگرشوہر اپنی بیوی کو تین طلاق دیکر اپنی نکاح کی بندھن سے آزاد کردے، تو حرمت مغلظہ ثابت ہونے کی وجہ سے دونوں ایک دوسرے کے لیے اجنبی بن جاتے ہیں،اور اجنبی مرد وعورت کے لیے ایک مکان ایک ساتھ  رہائش اختیارکرناشرعا جائز نہیں، اس لیے بچوں کا  بہانہ بناکر نامحرم مرد اور عورت کا ایک ساتھ رہنا جائز نہیں،  بلکہ د دونوں کے لیے فورا ایک دوسرے سے علیحدگی اختیار کرنا لازم اور ضروری ہے۔ </p><h5 class=""text-center amiri""> <strong>  مأخَذُ الفَتوی   </strong></h5><p class=""text-justify hawala amiri resizable""> قال اللّٰہ تعالیٰ :<br>
 اَلطَّلاَقُ مَرَّتٰنِ (الہ قولہ) فَإِنْ طَلَّقَہَا فَلاَ تَحِلُّ لَہٗ مِنْ بَعْد حَتّٰی تَنْکِحَ زَوْجًا غَیْرَہٗ الایۃ(البقرۃ آیت : 229،230)<br>
وفی صحیح البخاری:<br/>
وقال اللیث عن نافع کان ابن عمر إذا سئل عمن طلق ثلاثا قال: قال لوطلقت مرۃ أو مرتین فإن النبي صلی اﷲ علیہ وسلم أمرني بہذا فإن طلقہا ثلاثا حرمت حتی تنکح زوجا غیرہ۔ (کتاب الطلاق ج:2,ص:292)<br/>
وفی الھدایۃ:وان کان الطلاق ثلاثافی الحرۃ واثنتین فی الامۃ لم تحل لہ حتی تنکح زوجاغیرہ نکاحا صحیحاً ویدخل بھا ثم یطلقھا اویموت عنھا اھ(ج:2،ص:399) </br></br></p><div class=""ftw-writer amiri"">
<div class=""row"">
<div class=""col-md-8 col-sm-8 col-lg-8""></div>
<div class=""col-md-4 col-sm-4 col-lg-4 text-center"">
                                                            واللہ تعالی اعلم بالصواب  <br/><a href=""https://onlinefatawa.com/fatawa/writer_profile/8"">شفیع اللہ </a> عُفی  عنه  <br/> دار الافتاء جامعه بنوریه عالمیه                                                          <br/>
<a class=""text-center print-only"" href=""https://onlinefatawa.com/view_fatwa_unicode/67770""> فتوی  نمبر   67770کی تصدیق کریں  </a>
</div>
<div class=""col-md-1 col-sm-1""></div>
</div>
</div>",67770,binoria,معاملات , احکام طلاق , حلالہ اور طلاق مغلظہ
2023-09-18,https://onlinefatawa.com/view_fatwa_unicode/67780,میاں بیوی کا  ایک ساتھ غسل کرنا,"<p class=""text-justify urdu resizable"">کیا میاں بیوی اکٹھے غسل کر سکتے ہیں</p>","<h5 class=""text-center amiri""> <strong> الجوابُ  حامِدا ًو مُصلیِّا ً   </strong></h5><p class=""text-justify urdu resizable""> جی ہاں میاں بیوی ایک ساتھ غسل کرسکتے ہیں۔ جیساکہ حضرت عائشہ صدیقہ رضی اللہ عنہا سے ایک روایت میں منقول ہے، فرماتی ہیں کہ:<br>
"" میں اللہ کے رسول صلی اللہ علیہ وسلم کے ساتھ ایک ہی برتن سے غسل کیا کرتی تھی، آپ مجھ پر سبقت فرماتے تو میں کہتی: مجھے بھی دیجئے، مجھے بھی دیجئے""۔ </br></p><h5 class=""text-center amiri""> <strong>  مأخَذُ الفَتوی   </strong></h5><p class=""text-justify hawala amiri resizable""> کما فی صحیح مسلم:<br>
عن عائشةقالت: کنت أغتسل أنا ورسول اللہ صلی اللہ علیہ وسلم من إناء بینی وبینہ واحد فیبادرني حتی أقول: دع لي دع لي، قالت: وھما جنبان، وفي روایة أخری: کنت أغتسل أنا ورسول اللہ صلی اللہ علیہ وسلم من إناء واحد تختلف أیدینا فیہ من الجنابة، (۱: ۱۴۸) </br></p><div class=""ftw-writer amiri"">
<div class=""row"">
<div class=""col-md-8 col-sm-8 col-lg-8""></div>
<div class=""col-md-4 col-sm-4 col-lg-4 text-center"">
                                                            واللہ تعالی اعلم بالصواب  <br/><a href=""https://onlinefatawa.com/fatawa/writer_profile/8"">شفیع اللہ </a> عُفی  عنه  <br/> دار الافتاء جامعه بنوریه عالمیه                                                          <br/>
<a class=""text-center print-only"" href=""https://onlinefatawa.com/view_fatwa_unicode/67780""> فتوی  نمبر   67780کی تصدیق کریں  </a>
</div>
<div class=""col-md-1 col-sm-1""></div>
</div>
</div>",67780,binoria,حظر و اباحت , جائز و ناجائز , مباحات
2023-09-19,https://onlinefatawa.com/view_fatwa_unicode/67809,غیر مسلم ممالک میں مورگیج پر گھر لینا,"<p class=""text-justify urdu resizable"">میں کینیڈا میں رہتاہوں، اور یہ معلوم کرنا ہےکہ یہاں سودی بینک کے توسط سے مورگیج کےذریعہ مکان کی خریداری جائز ہے؟ میرے پاس فی الوقت کوئی مکان نہیں۔</p>","<h5 class=""text-center amiri""> <strong> الجوابُ  حامِدا ًو مُصلیِّا ً   </strong></h5><p class=""text-justify urdu resizable""> مور گیج کے ذریعہ حصول مکان کی صورت میں بھی اگر سودی معاملہ کرنا  پڑتا ہو تو یہ بلا شبہ نا جائز ہے اور اس سے احتراز لازم ہے، البتہ اگر کوئی شخص ، ادارہ یا بینک وغیرہ مطلوبہ مکان کی باضابطہ نقد خریداری کر کے اس پر اپنا مالکا نہ قبضہ بھی کر لیں اور اسکے بعد ادھار معاملہ کے ذریعے قسطوں پر بیچ  دیں اور اس طرح قسطوں کے معاملے میں ابتداء ہی یہ طے کر لیا جائے کہ  یہ ادھار اور قسطوں کا معاملہ ہوگا، اس میں کل اتنی قسطیں ھونگی اور ہر قسط کی مالیت یہ ہوگی ، نیز کسی قسط کی تاخیر پر  کوئی چارجز بھی وصول نہ کی جاتی ھوں تواس طرح کا معاملہ کرنا شرعا بھی جائز ہے اور ہر شخص اپنے ذاتی مکان کا مالک بھی بن سکتا ہے۔<br>
</br></p><h5 class=""text-center amiri""> <strong>  مأخَذُ الفَتوی   </strong></h5><p class=""text-justify hawala amiri resizable""> قال الله تعالى : يا ايها الذين امنوا لا تاكلوا الربوااضعافاً مضاعفة واتقوا الله لعلكم تفلحون۔ (سورة آل عمران - ١٣٠)<br>
و قال تعالى : بحق الله الربوا ويربي الصدقات والله لا يحب کل کتاب اسیم (سوره بقره - ۲۷۶) <br/>
وفی صحیح مسلم: و عن جابر فى الله تعالى عنه قال لعن رسول الله صلی اللہ علیه وسلم اکل الربوا وموکله وکاتبه وشاہدیه وقال ھم سواء اھ (ج2 ص 27) </br></p><div class=""ftw-writer amiri"">
<div class=""row"">
<div class=""col-md-8 col-sm-8 col-lg-8""></div>
<div class=""col-md-4 col-sm-4 col-lg-4 text-center"">
                                                            واللہ تعالی اعلم بالصواب  <br/><a href=""https://onlinefatawa.com/fatawa/writer_profile/8"">شفیع اللہ </a> عُفی  عنه  <br/> دار الافتاء جامعه بنوریه عالمیه                                                          <br/>
<a class=""text-center print-only"" href=""https://onlinefatawa.com/view_fatwa_unicode/67809""> فتوی  نمبر   67809کی تصدیق کریں  </a>
</div>
<div class=""col-md-1 col-sm-1""></div>
</div>
</div>",67809,binoria,معاملات , مالی معاوضات , رہن یا گروی
2023-09-20,https://onlinefatawa.com/view_fatwa_unicode/67811,فون پر نکاح کا حکم,"<p class=""text-justify urdu resizable"">ایک  دو  گواہ اور قاضی دونوں اس جگہ پر موجود نہ ہوں یعنی وہ دوسرے شہر میں ہوں جب کہ لڑکا لڑکی ایک ساتھ کسی اور شہر میں موجود ہوں تو کیا فون پہ نکاح ہو جاے گا یا ایسا نکاح جائز نہیں ہوگا جبکہ فون پر صرف اواز ہی سنی ہو گواہ اور قاضی نے۔</p>","<h5 class=""text-center amiri""> <strong> الجوابُ  حامِدا ًو مُصلیِّا ً   </strong></h5><p class=""text-justify urdu resizable""> واضح ہو کہ نکاح کرتے وقت لڑکا، لڑکی  اور گواہوں کا ایک  مجلس میں موجود  ہونا اوران گواہوں کےسامنے اس طرح ایجاب وقبول کرنا کہ گواہ بھی اسے سن لیں صحت نکاح کے لیے شرط ہے، اس کے بغیرشرعا نکاح منعقد نہیں ہوتا، اس لیے سوال میں ذکر کردہ طریقہ کار کہ مطابق جب گواہ مجلس نکاح میں موجود نہیں تھے، تو محض فون پر ایجاب وقبول سننے سے ان دونوں کا نکاح شرعا منعقد نہیں ہوا، بلکہ یہ دونوں بدستور اجنبی  اور ایک دوسرے کے لیے نامحرم ہیں، اس لیے اس نکاح کو بنیاد بناکر ایک دوسرے کے ساتھ کسی بھی قسم کا تعلق یا بے تکلفی اختیار کرنا شرعاجائز نہیں اس سے اجتناب لازم ہے۔ </p><h5 class=""text-center amiri""> <strong>  مأخَذُ الفَتوی   </strong></h5><p class=""text-justify hawala amiri resizable""> کما فی الدر المختار: <br>
ومن شرائط الایجاب والقبول اتحاد المجلس لو حاضرین، وان طال۔ اھـ (ج۳، ص۱۴)<br>
وفی التنویر مع شرح: <br/>
(و) شرط (حضور شاہدین (حرین) او حر وحرتین (مکلفین سامعین قولہما معا) الخ (ج۳، ص۳۱) </br></br></p><div class=""ftw-writer amiri"">
<div class=""row"">
<div class=""col-md-8 col-sm-8 col-lg-8""></div>
<div class=""col-md-4 col-sm-4 col-lg-4 text-center"">
                                                            واللہ تعالی اعلم بالصواب  <br/><a href=""https://onlinefatawa.com/fatawa/writer_profile/8"">شفیع اللہ </a> عُفی  عنه  <br/> دار الافتاء جامعه بنوریه عالمیه                                                          <br/>
<a class=""text-center print-only"" href=""https://onlinefatawa.com/view_fatwa_unicode/67811""> فتوی  نمبر   67811کی تصدیق کریں  </a>
</div>
<div class=""col-md-1 col-sm-1""></div>
</div>
</div>",67811,binoria,معاملات , احکام نکاح , وکیل و گواہ
2023-09-20,https://onlinefatawa.com/view_fatwa_unicode/67827,معوذتین کیسے کہتے ہے  ؟,"<p class=""text-justify urdu resizable"">معوذتین کیسے کہتے ہے۔  ؟؟؟</p>","<h5 class=""text-center amiri""> <strong> الجوابُ  حامِدا ًو مُصلیِّا ً   </strong></h5><p class=""text-justify urdu resizable""> ”معوذتین“ سے مراد  قرآن مجید کی آخری دو سورتیں  ”سورة الفلق“ اور ”سورة الناس“ ہیں۔ </p><p class=""text-justify hawala amiri resizable""> </p><div class=""ftw-writer amiri"">
<div class=""row"">
<div class=""col-md-8 col-sm-8 col-lg-8""></div>
<div class=""col-md-4 col-sm-4 col-lg-4 text-center"">
                                                            واللہ تعالی اعلم بالصواب  <br/><a href=""https://onlinefatawa.com/fatawa/writer_profile/8"">شفیع اللہ </a> عُفی  عنه  <br/> دار الافتاء جامعه بنوریه عالمیه                                                          <br/>
<a class=""text-center print-only"" href=""https://onlinefatawa.com/view_fatwa_unicode/67827""> فتوی  نمبر   67827کی تصدیق کریں  </a>
</div>
<div class=""col-md-1 col-sm-1""></div>
</div>
</div>",67827,binoria,قرآن و حدیث , تفسیر و احکام القرآن , آیات کی تفسیر و تشریح
