link,title,question_html,answer_html,fatwa_number,issued_at,category_lvl_1,category_lvl_2,html_container,dar_ul_ifta
https://darultaqwa.org/taqseem-miras-ke-mutaliq-sawalat/,تقسیم میراث کے متعلق سوالات,<p>السلام علیکم و رحمۃ اللہ و برکاتہ</p><p>کیا فرماتے ہیں  علماء کرام اس مسئلے کے بارے میں کہ حاجی اللہ وسایا فوت ہو گیا ہے، اس نے ورثاء میں دو بیویوں کی اولاد چھوڑی ہے، ایک بیوی سے ایک بیٹا اور تین بیٹیاں جبکہ دوسری بیوی سے چار بیٹے اور تین بیٹیاں ہیں، دونوں بیویاں اور والدین ان سے پہلے فوت ہو چکے ہیں۔ فوت ہونے والے کی اولاد میں میراث کیسے تقسیم ہو گی؟ جبکہ (دوسری بیوی سے) ایک بیٹے نے والد  کے فوت ہونے کے بعد وراثتی مکان کی مرمت میں تقریباً  تین لاکھ روپے لگائے، دو بہنوں کی شادیاں کیں، اور دو چھوٹے بھائیوں کی پرورش بھی کی اور یہی بیٹا تقریباً دو سال تک مکانات کا کرایہ جو تقریباً سات ہزار روپیہ تھا وصول کرتا رہا، دو سال کے بعد کرایہ کم ہو کر پانچ ہزار ہو گیا، یہ بھی تقریباً دو سال وصول کیا ہے، پھر چار سال تک تقریباً تین ہزار وصول کیا ہے، ایک اور مکان ہے جس کا کرایہ سات سال تک وصول کیا ہے اور کچھ ٹینٹ کا سامان تھا جو تقریباً اٹھارہ ہزار میں فروخت کیا گیا تھا اور شیٹرنگ کا سامان بھی تھا جو تقریباً اڑتیس ہزار میں فروخت کیا گیا تھا، مذکورہ مسائل کے جوابات قرآن و حدیث کی روشنی میں دے کر عند اللہ ماجور ہوں۔</p><h2>وضاحت مطلوب ہے:</h2><p>1۔ والد کی وفات کے وقت تمام بہن بھائی اکٹھے رہتے تھے یا علیحدہ علیحدہ؟</p><p>2۔ وفات کے بعد والد کا کوئی کاروبار تھا؟</p><p>3۔ جو پیسے مکان کی مرمت اور بہنوں کی شادیوں، اور بھائیوں کی پرورش پر لگائے، وہ کہاں سے خرچ کیے؟</p><p>4۔ کرایہ کہاں خرچ کرتے رہے؟</p><h2>جواب وضاحت:</h2><p>1۔ ایک بیوی کی اولاد میں سے بیٹا علیحدہ والد کے (ڈھائی مرلے) مکان میں رہتا تھا،  جبکہ اس بیوی سے ان کی تینوں بیٹیوں کی شادیاں ہو چکی تھیں اور وہ اپنے اپنے گھروں میں رہ رہی تھی۔</p><p>دوسری بیوی کی اولاد میں سے چاروں  بیٹے اور تینوں بیٹیاں پہلی بیوی کے بیٹے سے علیحدہ والد صاحب کے (آٹھ مرلے) مکان میں رہتے تھے۔ لیکن آپس میں اکٹھے رہتے تھے۔</p><p>2۔ والد صاحب پہلے شیٹرنگ کا کام کرتے تھے جو ان کی زندگی ہی میں ختم ہو گیا تھا، بعد میں بیٹے نے کریانہ کی دکان بنوا کر دی، تاکہ والد کا دل لگا رہے، دکان کرایہ پر تھی اور اس میں موجود سامان مذکورہ بیٹے کی ملکیت تھا، والد کی وفات کے بعد بیٹے نے دکان چلانے کی کوشش کی لیکن دکان نہیں چل سکی لہذا والد وفات کے ایک دو ماہ بعد دکان بالکل ختم ہو گئی۔</p><p>3۔ مذکورہ بھائی کا الگ اپنا سونے کا کاروبار تھا، انہوں نے مکان کی مرمت، بہنوں کی شادیوں ، اور بھائیوں کی پرورش پر اپنی جیب سے خرچ کیے تھے۔ بہنوں کی شادیوں اور بھائیوں کی پرورش پر جو پیسے لگائے وہ واپس لینے کی نیت سے نہیں لگائے تھے۔ 4۔  گھر کے مشترکہ اخراجات میں خرچ کیا۔</p><h2>مزید وضاحت مطلوب ہے:</h2><p>جو بیٹا علیحدہ رہتا تھا ان کو والد کے مکانات کا کرایہ آتا تھا یا نہیں؟ یا انہوں نے والد کی کوئی چیز بیچی ہو؟</p><h2>جواب وضاحت:</h2><p>ان کے زیر استعمال صرف والد کی ملکیت کا  مکان تھا، اس کے علاوہ نہ تو ان کو کہیں سے کرایہ آتا تھا نہ انہوں نے کوئی چیز بیچی ہے؟</p><p>نوٹ: یہ سوال سب بھائی بہنوں کی طرف سے ہے۔ نیز کرایہ کی بات پہلی بیوی سے شادی شدہ بیٹیوں کی طرف آئی ہے۔</p>,<p>1۔ مذکورہ صورت میں والد کے کل ترکہ اور جائیداد یا اس کی قیمت کو  16 حصوں میں تقسیم کر کے ان میں سے 2- 2 حصے ان کے 5 بیٹوں میں سے ہر ایک بیٹے کوملیں گے، اور ایک ایک حصہ ان کی 6 بیٹیوں میں سے ہر ایک بیٹی کو ملے گا۔ صورت تقسیم یہ ہے:</p><p><u>16                                                                       </u></p><p>5 بیٹے——————————-                                             6 بیٹیاں</p><p>2+2+2+2+2                       1+1+1+1+1+1</p><p>2۔ بھائی نے مکان کی مرمت پر جو ذاتی پیسے  لگائے ہیں ان پیسوں کا حق دار صرف وہی بھائی ہے، لہذا اتنی مقدار مکان کی قیمت میں سے منہا کر کے باقی قیمت ورثاء میں تقسیم ہو گی۔</p><p>3۔ مذکورہ بھائی نے چونکہ بہنوں کی شادیوں اور چھوٹے بھائیوں کی پرورش پر اپنی مرضی سے پیسے خرچ کیے ہیں لہذا وہ پیسے والد کے ترکہ میں سے منہا نہیں ہوں گے۔</p><p>4۔ مکانات کا کرایہ اور والد  کا جو سامان مذکورہ بھائی نے فروخت کر کے مشترکہ کھاتے میں خرچ کیا ہے اس میں چونکہ دوسری بیوی سے ایک بیٹے اور تین بیٹیوں کا بھی حصہ تھا، اس لیے ایک بیٹے اور تین بیٹیوں کے حصہ کے بقدر کرایہ اور سامان کی قیمت سب  بہن بھائیوں کے حصوں سے برابر برابر منہا کر کے ان کو ادا کی جائے</p>, 16-129, 17 مئی 2024,خاندانی معاملات,وراثت کا بیان,"<div class=""blog-detail"">
<div class=""blog-detail-inf brd-rd5"">
<div class=""blog-detail-inf-inr"">
<ul class=""pst-mta"">
<li>
<b>فتوی نمبر: </b>16-129<i aria-hidden=""true"" class=""theme-clr fa fa-calendar-check-o""></i> </li>
<li>
<b>تاریخ: </b>17 مئی 2024													<i aria-hidden=""true"" class=""theme-clr fa fa-calendar-check-o""></i>
</li>
<li>
<b>عنوانات: </b><a class=""brd-rd5 topic-sm"" href=""https://darultaqwa.org/khandani-mamlaat/"" itemprop=""url"">خاندانی معاملات</a> &gt; <a class=""brd-rd5 topic-sm"" href=""https://darultaqwa.org/khandani-mamlaat/miraas-wasiyyat-warasat/"" itemprop=""url"">وراثت کا بیان</a> &gt; <a class=""brd-rd5 topic-sm"" href=""https://darultaqwa.org/khandani-mamlaat/miraas-wasiyyat-warasat/warasat-miraas/"" itemprop=""url"">وراثت کے احکام</a> <i aria-hidden=""true"" class=""fa fa-folder-open-o theme-clr""></i>
</li>
</ul>
</div>
</div>
<div class=""blog-detail-desc event-detail-desc"">
<h3 class=""fatwa-qa"">استفتاء</h3>
<p>السلام علیکم و رحمۃ اللہ و برکاتہ</p>
<p>کیا فرماتے ہیں  علماء کرام اس مسئلے کے بارے میں کہ حاجی اللہ وسایا فوت ہو گیا ہے، اس نے ورثاء میں دو بیویوں کی اولاد چھوڑی ہے، ایک بیوی سے ایک بیٹا اور تین بیٹیاں جبکہ دوسری بیوی سے چار بیٹے اور تین بیٹیاں ہیں، دونوں بیویاں اور والدین ان سے پہلے فوت ہو چکے ہیں۔ فوت ہونے والے کی اولاد میں میراث کیسے تقسیم ہو گی؟ جبکہ (دوسری بیوی سے) ایک بیٹے نے والد  کے فوت ہونے کے بعد وراثتی مکان کی مرمت میں تقریباً  تین لاکھ روپے لگائے، دو بہنوں کی شادیاں کیں، اور دو چھوٹے بھائیوں کی پرورش بھی کی اور یہی بیٹا تقریباً دو سال تک مکانات کا کرایہ جو تقریباً سات ہزار روپیہ تھا وصول کرتا رہا، دو سال کے بعد کرایہ کم ہو کر پانچ ہزار ہو گیا، یہ بھی تقریباً دو سال وصول کیا ہے، پھر چار سال تک تقریباً تین ہزار وصول کیا ہے، ایک اور مکان ہے جس کا کرایہ سات سال تک وصول کیا ہے اور کچھ ٹینٹ کا سامان تھا جو تقریباً اٹھارہ ہزار میں فروخت کیا گیا تھا اور شیٹرنگ کا سامان بھی تھا جو تقریباً اڑتیس ہزار میں فروخت کیا گیا تھا، مذکورہ مسائل کے جوابات قرآن و حدیث کی روشنی میں دے کر عند اللہ ماجور ہوں۔</p>
<h2>وضاحت مطلوب ہے:</h2>
<p>1۔ والد کی وفات کے وقت تمام بہن بھائی اکٹھے رہتے تھے یا علیحدہ علیحدہ؟</p>
<p>2۔ وفات کے بعد والد کا کوئی کاروبار تھا؟</p>
<p>3۔ جو پیسے مکان کی مرمت اور بہنوں کی شادیوں، اور بھائیوں کی پرورش پر لگائے، وہ کہاں سے خرچ کیے؟</p>
<p>4۔ کرایہ کہاں خرچ کرتے رہے؟</p>
<h2>جواب وضاحت:</h2>
<p>1۔ ایک بیوی کی اولاد میں سے بیٹا علیحدہ والد کے (ڈھائی مرلے) مکان میں رہتا تھا،  جبکہ اس بیوی سے ان کی تینوں بیٹیوں کی شادیاں ہو چکی تھیں اور وہ اپنے اپنے گھروں میں رہ رہی تھی۔</p>
<p>دوسری بیوی کی اولاد میں سے چاروں  بیٹے اور تینوں بیٹیاں پہلی بیوی کے بیٹے سے علیحدہ والد صاحب کے (آٹھ مرلے) مکان میں رہتے تھے۔ لیکن آپس میں اکٹھے رہتے تھے۔</p>
<p>2۔ والد صاحب پہلے شیٹرنگ کا کام کرتے تھے جو ان کی زندگی ہی میں ختم ہو گیا تھا، بعد میں بیٹے نے کریانہ کی دکان بنوا کر دی، تاکہ والد کا دل لگا رہے، دکان کرایہ پر تھی اور اس میں موجود سامان مذکورہ بیٹے کی ملکیت تھا، والد کی وفات کے بعد بیٹے نے دکان چلانے کی کوشش کی لیکن دکان نہیں چل سکی لہذا والد وفات کے ایک دو ماہ بعد دکان بالکل ختم ہو گئی۔</p>
<p>3۔ مذکورہ بھائی کا الگ اپنا سونے کا کاروبار تھا، انہوں نے مکان کی مرمت، بہنوں کی شادیوں ، اور بھائیوں کی پرورش پر اپنی جیب سے خرچ کیے تھے۔ بہنوں کی شادیوں اور بھائیوں کی پرورش پر جو پیسے لگائے وہ واپس لینے کی نیت سے نہیں لگائے تھے۔ 4۔  گھر کے مشترکہ اخراجات میں خرچ کیا۔</p>
<h2>مزید وضاحت مطلوب ہے:</h2>
<p>جو بیٹا علیحدہ رہتا تھا ان کو والد کے مکانات کا کرایہ آتا تھا یا نہیں؟ یا انہوں نے والد کی کوئی چیز بیچی ہو؟</p>
<h2>جواب وضاحت:</h2>
<p>ان کے زیر استعمال صرف والد کی ملکیت کا  مکان تھا، اس کے علاوہ نہ تو ان کو کہیں سے کرایہ آتا تھا نہ انہوں نے کوئی چیز بیچی ہے؟</p>
<p>نوٹ: یہ سوال سب بھائی بہنوں کی طرف سے ہے۔ نیز کرایہ کی بات پہلی بیوی سے شادی شدہ بیٹیوں کی طرف آئی ہے۔</p>
<h3 class=""fatwa-ans"">الجواب :بسم اللہ حامداًومصلیاً</h3>
<p>1۔ مذکورہ صورت میں والد کے کل ترکہ اور جائیداد یا اس کی قیمت کو  16 حصوں میں تقسیم کر کے ان میں سے 2- 2 حصے ان کے 5 بیٹوں میں سے ہر ایک بیٹے کوملیں گے، اور ایک ایک حصہ ان کی 6 بیٹیوں میں سے ہر ایک بیٹی کو ملے گا۔ صورت تقسیم یہ ہے:</p>
<p><u>16                                                                       </u></p>
<p>5 بیٹے——————————-                                             6 بیٹیاں</p>
<p>2+2+2+2+2                       1+1+1+1+1+1</p>
<p>2۔ بھائی نے مکان کی مرمت پر جو ذاتی پیسے  لگائے ہیں ان پیسوں کا حق دار صرف وہی بھائی ہے، لہذا اتنی مقدار مکان کی قیمت میں سے منہا کر کے باقی قیمت ورثاء میں تقسیم ہو گی۔</p>
<p>3۔ مذکورہ بھائی نے چونکہ بہنوں کی شادیوں اور چھوٹے بھائیوں کی پرورش پر اپنی مرضی سے پیسے خرچ کیے ہیں لہذا وہ پیسے والد کے ترکہ میں سے منہا نہیں ہوں گے۔</p>
<p>4۔ مکانات کا کرایہ اور والد  کا جو سامان مذکورہ بھائی نے فروخت کر کے مشترکہ کھاتے میں خرچ کیا ہے اس میں چونکہ دوسری بیوی سے ایک بیٹے اور تین بیٹیوں کا بھی حصہ تھا، اس لیے ایک بیٹے اور تین بیٹیوں کے حصہ کے بقدر کرایہ اور سامان کی قیمت سب  بہن بھائیوں کے حصوں سے برابر برابر منہا کر کے ان کو ادا کی جائے</p>
<div class=""pst-shr-tgs"">
<div class=""scl1 float-left"">
<span>Share This: </span>
<a data-placement=""top"" data-toggle=""tooltip"" href=""https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fdarultaqwa.org%2Ftaqseem-miras-ke-mutaliq-sawalat%2F"" itemprop=""url"" target=""_blank"" title=""Facebook""><i class=""fa fa-facebook""></i></a><a data-placement=""top"" data-toggle=""tooltip"" href=""https://twitter.com/intent/tweet?text=تقسیم%20میراث%20کے%20متعلق%20سوالات&amp;url=https%3A%2F%2Fdarultaqwa.org%2Ftaqseem-miras-ke-mutaliq-sawalat%2F"" itemprop=""url"" target=""_blank"" title=""Twitter""><i class=""fa fa-twitter""></i></a><a data-placement=""top"" data-toggle=""tooltip"" href=""https://plus.google.com/share?url=https%3A%2F%2Fdarultaqwa.org%2Ftaqseem-miras-ke-mutaliq-sawalat%2F"" itemprop=""url"" target=""_blank"" title=""Google Plus""><i class=""fa fa-google-plus""></i></a><a data-placement=""top"" data-toggle=""tooltip"" href=""http://www.linkedin.com/shareArticle?mini=true&amp;url=https%3A%2F%2Fdarultaqwa.org%2Ftaqseem-miras-ke-mutaliq-sawalat%2F"" itemprop=""url"" target=""_blank"" title=""Linkedin""><i class=""fa fa-linkedin""></i></a> </div>
</div>
</div>
</div>",darultaqwa.org
https://darultaqwa.org/taqseem-miras-kie-ek-soorat/,تقسیم میراث کی ایک صورت,<p>السلام علیکم ورحمۃ اللہ وبرکاتہ</p><p>ایک شخص فوت ہوا اس کے ورثاء میں ایک حقیقی بہن اورایک علاتی بھائی ہے۔ہر ایک کا حصہ بتادیں؟ان کے علاوہ کوئی اور وارث نہیں ہے۔</p>,<p>مذکورہ صورت میں مرحوم کے کل ترکہ کے 2حصے بناکر ایک حصہ مرحوم کی حقیقی بہن کو ملے گا اور ایک حصہ مرحوم کےعلاتی بھائی کو ملے گا۔</p><p>تقسیم کی صورت درج ذیل ہے:</p><p>2</p><p>1حقیقی بہن—————                    1علاتی بھائی</p><p>نصف                             —————عصبہ</p><p>1                                 1</p>, 16-170, 17 مئی 2024,خاندانی معاملات,وراثت کا بیان,"<div class=""blog-detail"">
<div class=""blog-detail-inf brd-rd5"">
<div class=""blog-detail-inf-inr"">
<ul class=""pst-mta"">
<li>
<b>فتوی نمبر: </b>16-170<i aria-hidden=""true"" class=""theme-clr fa fa-calendar-check-o""></i> </li>
<li>
<b>تاریخ: </b>17 مئی 2024													<i aria-hidden=""true"" class=""theme-clr fa fa-calendar-check-o""></i>
</li>
<li>
<b>عنوانات: </b><a class=""brd-rd5 topic-sm"" href=""https://darultaqwa.org/khandani-mamlaat/"" itemprop=""url"">خاندانی معاملات</a> &gt; <a class=""brd-rd5 topic-sm"" href=""https://darultaqwa.org/khandani-mamlaat/miraas-wasiyyat-warasat/"" itemprop=""url"">وراثت کا بیان</a> &gt; <a class=""brd-rd5 topic-sm"" href=""https://darultaqwa.org/khandani-mamlaat/miraas-wasiyyat-warasat/warasat-miraas/"" itemprop=""url"">وراثت کے احکام</a> <i aria-hidden=""true"" class=""fa fa-folder-open-o theme-clr""></i>
</li>
</ul>
</div>
</div>
<div class=""blog-detail-desc event-detail-desc"">
<h3 class=""fatwa-qa"">استفتاء</h3>
<p>السلام علیکم ورحمۃ اللہ وبرکاتہ</p>
<p>ایک شخص فوت ہوا اس کے ورثاء میں ایک حقیقی بہن اورایک علاتی بھائی ہے۔ہر ایک کا حصہ بتادیں؟ان کے علاوہ کوئی اور وارث نہیں ہے۔</p>
<h3 class=""fatwa-ans"">الجواب :بسم اللہ حامداًومصلیاً</h3>
<p>مذکورہ صورت میں مرحوم کے کل ترکہ کے 2حصے بناکر ایک حصہ مرحوم کی حقیقی بہن کو ملے گا اور ایک حصہ مرحوم کےعلاتی بھائی کو ملے گا۔</p>
<p>تقسیم کی صورت درج ذیل ہے:</p>
<p>2</p>
<p>1حقیقی بہن—————                    1علاتی بھائی</p>
<p>نصف                             —————عصبہ</p>
<p>1                                 1</p>
<div class=""pst-shr-tgs"">
<div class=""scl1 float-left"">
<span>Share This: </span>
<a data-placement=""top"" data-toggle=""tooltip"" href=""https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fdarultaqwa.org%2Ftaqseem-miras-kie-ek-soorat%2F"" itemprop=""url"" target=""_blank"" title=""Facebook""><i class=""fa fa-facebook""></i></a><a data-placement=""top"" data-toggle=""tooltip"" href=""https://twitter.com/intent/tweet?text=تقسیم%20میراث%20کی%20ایک%20صورت&amp;url=https%3A%2F%2Fdarultaqwa.org%2Ftaqseem-miras-kie-ek-soorat%2F"" itemprop=""url"" target=""_blank"" title=""Twitter""><i class=""fa fa-twitter""></i></a><a data-placement=""top"" data-toggle=""tooltip"" href=""https://plus.google.com/share?url=https%3A%2F%2Fdarultaqwa.org%2Ftaqseem-miras-kie-ek-soorat%2F"" itemprop=""url"" target=""_blank"" title=""Google Plus""><i class=""fa fa-google-plus""></i></a><a data-placement=""top"" data-toggle=""tooltip"" href=""http://www.linkedin.com/shareArticle?mini=true&amp;url=https%3A%2F%2Fdarultaqwa.org%2Ftaqseem-miras-kie-ek-soorat%2F"" itemprop=""url"" target=""_blank"" title=""Linkedin""><i class=""fa fa-linkedin""></i></a> </div>
</div>
</div>
</div>",darultaqwa.org
https://darultaqwa.org/taqseem-miras-se-pehle-aadmi-par-qurbani-ka-wajib-nahi/,تقسیم میراث سے پہلے آدمی پر قربانی کاوجوب نہیں(بشرطیکہ اس کے علاوہ کچھ نہ ہو),<p>السلام علیکم ورحمۃ اللہ وبرکاتہ</p><p>کچھ لوگ میت کی وراثت میں حصہ دار ہیں لیکن میراث غیر تقسیم شدہ ہونے کی وجہ سے کسی وارث کو بھی اپنے حصہ کا علم بھی نہیں ہے۔نیز اس جائیداد پر ایک شخص نے غیر شرعی قبضہ بھی کر رکھا ہے تو ایسی صورت میں ان ورثاء پر گذشتہ اور آئندہ سالوں کی قربانی کا کیا حکم ہے؟</p>,<p>مذکورہ صورت میں جب تک اپنے اپنے حصوں پر قبضہ نہ مل جائے اس وقت تک قربانی واجب نہیں نہ گذشتہ کی اورنہ آئندہ کی۔بشرطیکہ یہ ورثاء اس جائیداد کے علاوہ صاحب نصاب نہ ہوں۔</p>, 16-191, 17 مئی 2024,خاندانی معاملات,وراثت کا بیان,"<div class=""blog-detail"">
<div class=""blog-detail-inf brd-rd5"">
<div class=""blog-detail-inf-inr"">
<ul class=""pst-mta"">
<li>
<b>فتوی نمبر: </b>16-191<i aria-hidden=""true"" class=""theme-clr fa fa-calendar-check-o""></i> </li>
<li>
<b>تاریخ: </b>17 مئی 2024													<i aria-hidden=""true"" class=""theme-clr fa fa-calendar-check-o""></i>
</li>
<li>
<b>عنوانات: </b><a class=""brd-rd5 topic-sm"" href=""https://darultaqwa.org/khandani-mamlaat/"" itemprop=""url"">خاندانی معاملات</a> &gt; <a class=""brd-rd5 topic-sm"" href=""https://darultaqwa.org/khandani-mamlaat/miraas-wasiyyat-warasat/"" itemprop=""url"">وراثت کا بیان</a> &gt; <a class=""brd-rd5 topic-sm"" href=""https://darultaqwa.org/khandani-mamlaat/miraas-wasiyyat-warasat/warasat-miraas/"" itemprop=""url"">وراثت کے احکام</a> <i aria-hidden=""true"" class=""fa fa-folder-open-o theme-clr""></i>
</li>
</ul>
</div>
</div>
<div class=""blog-detail-desc event-detail-desc"">
<h3 class=""fatwa-qa"">استفتاء</h3>
<p>السلام علیکم ورحمۃ اللہ وبرکاتہ</p>
<p>کچھ لوگ میت کی وراثت میں حصہ دار ہیں لیکن میراث غیر تقسیم شدہ ہونے کی وجہ سے کسی وارث کو بھی اپنے حصہ کا علم بھی نہیں ہے۔نیز اس جائیداد پر ایک شخص نے غیر شرعی قبضہ بھی کر رکھا ہے تو ایسی صورت میں ان ورثاء پر گذشتہ اور آئندہ سالوں کی قربانی کا کیا حکم ہے؟</p>
<h3 class=""fatwa-ans"">الجواب :بسم اللہ حامداًومصلیاً</h3>
<p>مذکورہ صورت میں جب تک اپنے اپنے حصوں پر قبضہ نہ مل جائے اس وقت تک قربانی واجب نہیں نہ گذشتہ کی اورنہ آئندہ کی۔بشرطیکہ یہ ورثاء اس جائیداد کے علاوہ صاحب نصاب نہ ہوں۔</p>
<div class=""pst-shr-tgs"">
<div class=""scl1 float-left"">
<span>Share This: </span>
<a data-placement=""top"" data-toggle=""tooltip"" href=""https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fdarultaqwa.org%2Ftaqseem-miras-se-pehle-aadmi-par-qurbani-ka-wajib-nahi%2F"" itemprop=""url"" target=""_blank"" title=""Facebook""><i class=""fa fa-facebook""></i></a><a data-placement=""top"" data-toggle=""tooltip"" href=""https://twitter.com/intent/tweet?text=تقسیم%20میراث%20سے%20پہلے%20آدمی%20پر%20قربانی%20کاوجوب%20نہیں(بشرطیکہ%20اس%20کے%20علاوہ%20کچھ%20نہ%20ہو)&amp;url=https%3A%2F%2Fdarultaqwa.org%2Ftaqseem-miras-se-pehle-aadmi-par-qurbani-ka-wajib-nahi%2F"" itemprop=""url"" target=""_blank"" title=""Twitter""><i class=""fa fa-twitter""></i></a><a data-placement=""top"" data-toggle=""tooltip"" href=""https://plus.google.com/share?url=https%3A%2F%2Fdarultaqwa.org%2Ftaqseem-miras-se-pehle-aadmi-par-qurbani-ka-wajib-nahi%2F"" itemprop=""url"" target=""_blank"" title=""Google Plus""><i class=""fa fa-google-plus""></i></a><a data-placement=""top"" data-toggle=""tooltip"" href=""http://www.linkedin.com/shareArticle?mini=true&amp;url=https%3A%2F%2Fdarultaqwa.org%2Ftaqseem-miras-se-pehle-aadmi-par-qurbani-ka-wajib-nahi%2F"" itemprop=""url"" target=""_blank"" title=""Linkedin""><i class=""fa fa-linkedin""></i></a> </div>
</div>
</div>
</div>",darultaqwa.org
