issued_at,link,title,question,answer,fatwa_number,dar_ul_ifta,category_lvl_1,category_lvl_2
2017-12-05,https://almuftionline.com/2017/12/05/887/,نکاح میں وکالت  کی مخصوص   صورت کا حکم,,"<h4 class=""has-text-align-center"">اَلجَوَابْ بِاسْمِ مُلْہِمِ الصَّوَابْ

</h4>",887,jameya-tur-rasheed,نکاح کا بیان,نکاح کی وکالت کابیان
2017-12-03,https://almuftionline.com/2017/12/03/948/,زکوٰۃ ادا کرنے میں وقت اداء کی قیمت کا اعتبار ہوگا,,"<h4 class=""has-text-align-center"">اَلجَوَابْ بِاسْمِ مُلْہِمِ الصَّوَابْ

</h4>",948,jameya-tur-rasheed,زکوة کابیان,زکوة کے جدید اور متفرق مسائل کا بیان
2017-12-03,https://almuftionline.com/2017/12/03/946/,انعامی بانڈز پر ملنے والے انعام کاحکم,,"<h4 class=""has-text-align-center"">اَلجَوَابْ بِاسْمِ مُلْہِمِ الصَّوَابْ

</h4>",946,jameya-tur-rasheed,سود اور جوے کے مسائل,سود اورجوا کے متفرق  احکام
2017-12-01,https://almuftionline.com/2017/12/01/444/,۹ذی الحج کووقوف عرفہ کی وجہ,<p>9 ذی الحج کوزوال آفتاب سے غروب شمس تک میدان عرفات میں وقوف حج کاسب سے اہم رکن ہے،جس کی بابت حدیث میں کہاگیاہےکہ عرفات میں وقوف ہی حج ہے الحج یوم العرفہ۔ اللہ تعالی نے 9 ذی الحج کادن کیوں مقررکیااورعرفات کامیدان کیوں مقررکردیا،کیااس دن ؟کوئی بڑاواقعہ ہواہے،اس کی کیاوجہ ہے جواتنی فضیلت دی گئی ہے</p>,"<h4 class=""has-text-align-center"">اَلجَوَابْ بِاسْمِ مُلْہِمِ الصَّوَابْ

</h4><p>اس دن کی تخصیص اورفضیلت کی وجہ یہی ہے کہ اللہ تعالی نے اس دن کوخاص حیثیت دی ہے،اس کے علاوہ اللہ تعالی کے احکام اورفیصلوں کوعلل اوروجوہ کی ضرورت نہیں،اورنہ ہی احادیث میں ایسی کوئی وجوہات مذکورہیں،باقی اس دن کے اس نام کے حوالے سے مختلف وجوہات ذکرکی گئی ہیں،علامہ بغوی نے فرمایاہےکہ ابراہیم علیہ السلام اوراسماعیل علیہ السلام عرفات میں پہنچے توجبرئیل علیہ السلام نے کہااے ابراہیم علیہ السلام آپ نے مناسک حج پہچان لئے؟،توابراہیم علیہ السلام نے فرمایا ہاں پہچان لئے،اسی دن سے اس مقام اوراس دن(۹ذی الحجہ ) کانام عرفہ ہوگیا۔ نیز ""معارف القرآن""1/488: میں ہےعرفات کوعرفات کہنے کی بہت سے وجوہات بتلائی جاتی ہیں،ان میں واضح یہ ہے کہ اس میدان میں انسان اپنے رب کی معرفت اوربذریعہ عبادت وذکراللہ تعالی کاتقرب حاصل کرتاہے،نیز مشرق ومغرب کے مسلمانوں کوآپس میں تعارف کاموقع ملتاہے۔</p>",444,jameya-tur-rasheed,حج کے  احکام ومسائل,حج کے جدید اور متفرق مسائل
2017-11-30,https://almuftionline.com/2017/11/30/761/,کھانے کیلئے دستر خوان بچھانے کاحکم,,"<h4 class=""has-text-align-center"">اَلجَوَابْ بِاسْمِ مُلْہِمِ الصَّوَابْ

</h4>",761,jameya-tur-rasheed,جائز و ناجائزامور کا بیان,کھانے پینے کے مسائل
2017-11-29,https://almuftionline.com/2017/11/29/1434/,جائے ملازمت میں اتمام کرے گا یا قصر؟,,"<h4 class=""has-text-align-center"">اَلجَوَابْ بِاسْمِ مُلْہِمِ الصَّوَابْ

</h4>",1434,jameya-tur-rasheed,نماز کا بیان,مسافر کی نماز کابیان
2017-11-29,https://almuftionline.com/2017/11/29/1433/,دورانِ تعلیم یونیورسٹی میں اتمام کرے گا یا قصر,,"<h4 class=""has-text-align-center"">اَلجَوَابْ بِاسْمِ مُلْہِمِ الصَّوَابْ

</h4>",1433,jameya-tur-rasheed,نماز کا بیان,مسافر کی نماز کابیان
2017-11-28,https://almuftionline.com/2017/11/28/1773/,مسجدکی تعمیر میں أموال زکوٰۃ صرف کا حکم,,"<h4 class=""has-text-align-center"">اَلجَوَابْ بِاسْمِ مُلْہِمِ الصَّوَابْ

</h4>",1773,jameya-tur-rasheed,زکوة کابیان,مستحقین زکوة کا بیان
2017-11-28,https://almuftionline.com/2017/11/28/892/,ہمبستری کے آداب,,"<h4 class=""has-text-align-center"">اَلجَوَابْ بِاسْمِ مُلْہِمِ الصَّوَابْ

</h4>",892,jameya-tur-rasheed,نکاح کا بیان,نکاح کے جدید اور متفرق مسائل
2017-11-27,https://almuftionline.com/2017/11/27/1589/,مدرسہ کی کمیٹی مدرسہ کے مقدمات کی پیروی کرے گی,,"<h4 class=""has-text-align-center"">اَلجَوَابْ بِاسْمِ مُلْہِمِ الصَّوَابْ

</h4>",1589,jameya-tur-rasheed,وقف کے مسائل,مسجد کے احکام و مسائل
