issued_at,link,title,question,answer,fatwa_number,dar_ul_ifta,category_lvl_1,category_lvl_2
2018-11-04,https://almuftionline.com/2018/11/04/2017/,چندہ نہ کرنے کی قسم اٹھانا/ اگرمدرسہ کے لئے چندہ کیا تو اس کی بیوی کو تین طلاق ہوں,,"<h4 class=""has-text-align-center"">اَلجَوَابْ بِاسْمِ مُلْہِمِ الصَّوَابْ

</h4>",2017,jameya-tur-rasheed,قسم منت اور نذر کے احکام,متفرّق مسائل
2018-11-04,https://almuftionline.com/2018/11/04/2016/,انتقال اعضاء /دوسرے مریض میں اعضاء منتقل کرنے کے لئے مرض الموت کے مریض کو قتل کرنا,,"<h4 class=""has-text-align-center"">اَلجَوَابْ بِاسْمِ مُلْہِمِ الصَّوَابْ

</h4>",2016,jameya-tur-rasheed,جائز و ناجائزامور کا بیان,علاج کابیان
2018-11-04,https://almuftionline.com/2018/11/04/2015/,مریض مرض الموت کا علاج/مریض کواذیت وتکلیف کی شدت سے چھٹکارے کےلئےموت کاٹیکہ لگانا,,"<h4 class=""has-text-align-center"">اَلجَوَابْ بِاسْمِ مُلْہِمِ الصَّوَابْ

</h4>",2015,jameya-tur-rasheed,جائز و ناجائزامور کا بیان,جائز و ناجائز کے متفرق مسائل
2018-11-04,https://almuftionline.com/2018/11/04/2014/,مریض کا علاج نہ کرانا/اگر یقین ہوکہ مریض کے لئے کوئی دوا مفید/موثر نہیں توعلاج معالجہ ترک کرناجائز ہے؟,,"<h4 class=""has-text-align-center"">اَلجَوَابْ بِاسْمِ مُلْہِمِ الصَّوَابْ

</h4>",2014,jameya-tur-rasheed,جائز و ناجائزامور کا بیان,جائز و ناجائز کے متفرق مسائل
2018-11-04,https://almuftionline.com/2018/11/04/1797/,قسم کےکفارےکی رقم والدین کودینا,,"<h4 class=""has-text-align-center"">اَلجَوَابْ بِاسْمِ مُلْہِمِ الصَّوَابْ

</h4>",1797,jameya-tur-rasheed,قسم منت اور نذر کے احکام,متفرّق مسائل
2018-11-03,https://almuftionline.com/2018/11/03/2013/,غیر مملوکہ زمین کی پیداوار سے زکوۃ  وعشرکا حکم,,"<h4 class=""has-text-align-center"">اَلجَوَابْ بِاسْمِ مُلْہِمِ الصَّوَابْ

</h4>",2013,jameya-tur-rasheed,زکوة کابیان,عشر اور خراج کے احکام
2018-11-03,https://almuftionline.com/2018/11/03/2012/,تصاویر والے کمرے میں نماز پڑھنے کا حکم,,"<h4 class=""has-text-align-center"">اَلجَوَابْ بِاسْمِ مُلْہِمِ الصَّوَابْ

</h4>",2012,jameya-tur-rasheed,جائز و ناجائزامور کا بیان,کھیل،گانے اور تصویر کےاحکام
2018-11-03,https://almuftionline.com/2018/11/03/2011/,معاشرت کے آداب وحقوق/رہائش کے لئے ناکافی اور تنگ گھر میں منتقل ہونے کےلئے والدین کااصرار,,"<h4 class=""has-text-align-center"">اَلجَوَابْ بِاسْمِ مُلْہِمِ الصَّوَابْ

</h4>",2011,jameya-tur-rasheed,معاشرت کے آداب و حقوق کا بیان,متفرّق مسائل
2018-11-03,https://almuftionline.com/2018/11/03/2010/,ادھار کی وجہ سے قیمت میں کتنی زیادتی کی گنجائش ہے؟,,"<h4 class=""has-text-align-center"">اَلجَوَابْ بِاسْمِ مُلْہِمِ الصَّوَابْ

</h4>",2010,jameya-tur-rasheed,خرید و فروخت کے احکام,قرض اور دین سے متعلق مسائل
2018-11-03,https://almuftionline.com/2018/11/03/2009/,اپنی قبر بنانے کی وصیت / مرنے سے پہلےبنائی گئی قبر میں تدفین کی وصیت پوری کرنامشکل ہوتوکیاحکم ہے؟,,"<h4 class=""has-text-align-center"">اَلجَوَابْ بِاسْمِ مُلْہِمِ الصَّوَابْ

</h4>",2009,jameya-tur-rasheed,وصیت کا بیان,متفرّق مسائل
