issued_at,link,title,question,answer,fatwa_number,dar_ul_ifta,category_lvl_1,category_lvl_2
2017-07-15,https://almuftionline.com/2017/07/15/1316/,چاندکےبڑے چھوٹے ہونے پرشرعی اثرمرتب ہوتاہے یانہیں؟,,"<h4 class=""has-text-align-center"">اَلجَوَابْ بِاسْمِ مُلْہِمِ الصَّوَابْ

</h4>",1316,jameya-tur-rasheed,روزے کا بیان,رمضان کا چاند دیکھنے اور اختلاف مطالع کا بیان
2017-07-14,https://almuftionline.com/2017/07/14/1326/,نمازمیں مخفف کومشدد پڑہنے کاحکم,,"<h4 class=""has-text-align-center"">اَلجَوَابْ بِاسْمِ مُلْہِمِ الصَّوَابْ

</h4>",1326,jameya-tur-rasheed,نماز کا بیان,قراءت کے واجب ہونے اور قراء ت میں غلطی کرنے کا بیان
2017-07-14,https://almuftionline.com/2017/07/14/1296/,دوسورتوں کےدرمیان ایک سورت چھوڑنےکاحکم,,"<h4 class=""has-text-align-center"">اَلجَوَابْ بِاسْمِ مُلْہِمِ الصَّوَابْ

</h4>",1296,jameya-tur-rasheed,نماز کا بیان,نماز کی سنتیں،آداب اورپڑھنے کا طریقہ
2017-07-13,https://almuftionline.com/2017/07/13/1705/,وارثوں کی مرضی کے بغیرموروثی مکان وقف کرنا,,"<h4 class=""has-text-align-center"">اَلجَوَابْ بِاسْمِ مُلْہِمِ الصَّوَابْ

</h4>",1705,jameya-tur-rasheed,میراث کے مسائل,میراث کے متفرق مسائل
2017-07-13,https://almuftionline.com/2017/07/13/414/,طلاق کے بعد نابالغ لڑکے کی پرورش کا حقدار کون ہے؟,<p>میں نے اپنی بیوی (مہرین) کو طلاق دیدی ہے، اس سے میرا ایک بیٹا (انس) ہے، میری والدہ محترمہ یہ چاہتی ہے کہ انس کی پرورش (تعلیم وغیرہ) انس کی پھوپھی کرے۔ تنقیح: سائل نے فون پر بتایا کہ میرا یہ بیٹا انس چھ (6) سال کا ہے۔</p>,"<h4 class=""has-text-align-center"">اَلجَوَابْ بِاسْمِ مُلْہِمِ الصَّوَابْ

</h4><p>پہلے بطورِ تمہید یہ بات سمجھنی چاہیے کہ شرعاً لڑکے کی پرورش کا حق سات سال تک اس کی والدہ کو ہوتا ہے، البتہ اگر بچے کی والدہ اس کی پرورش سے انکار کردے، یا وہ کوئی ایسا کام کرے جس سے شرعاً اس کا حقِ پرورش ختم ہو، مثلاً: (معاذ اللہ) مرتد ہوجائے، کسی ایسے شخص سے شادی کرے جو بچے کا ذی رحم محرم نہ ہو، یا وہ بچے کا خیال نہ رکھتی ہو جس کی وجہ سے اس کے پاس بچے کے ضائع ہونے کا خطرہ ہو تو ان صورتوں میں پرورش کا حق بچے کی نانی کو ملتا ہے، اور اگر نانی بھی پرورش نہ کرنا چاہتی ہو یا مندرجہ بالا اسباب میں سے کسی سبب سے اس کا حقِ پرورش ختم ہو تو ایسی صورت میں حقِ پرورش بچے کی دادی کو ملتا ہے، اس کے بعد بچے کی بہنیں، خالائیں اور پھوپھیاں بالترتیب بچے کی پرورش کی حقدار ہوتی ہیں۔ اس تمہید کے بعد آپ کے سوال کا جواب یہ ہے کہ آپ کے بچے انس (جوکہ چھ سال کا ہے) کی عمر سات سال ہونے تک اس کی پرورش میں مذکورہ بالا ترتیب کا خیال رکھنا ضروری ہے، البتہ اگر اس کی والدہ، نانی، دادی اور خالائیں اس کی پرورش نہیں کرنا چاہتیں یا وہ مذکورہ بالا اسباب میں سے کسی وجہ سے پرورش کی حقدار نہ رہی ہوں تو ایسی صورت میں اس کی عمر سات سال ہونے تک پرورش کا حق پھوپھی کو ملے گا۔ اور سات سال عمر ہونے کے بعد کفالت کی ذمہ داری آپ پر ہے، اس وقت اگر آپ اس کو اپنی بہن (انس کی پھوپھی) کی تربیت میں دینا چاہیں تو دے سکتے ہیں۔</p>",414,jameya-tur-rasheed,طلاق کے احکام,بچوں کی پرورش  کے مسائل
2017-07-12,https://almuftionline.com/2017/07/12/1528/,بیوی  کا اکیلا جائدادپر قبضہ کرلینا,,"<h4 class=""has-text-align-center"">اَلجَوَابْ بِاسْمِ مُلْہِمِ الصَّوَابْ

</h4>",1528,jameya-tur-rasheed,میراث کے مسائل,میراث کے متفرق مسائل
2017-07-12,https://almuftionline.com/2017/07/12/1512/,ملی نغمے کے ساز  بجانے کا حکم,,"<h4 class=""has-text-align-center"">اَلجَوَابْ بِاسْمِ مُلْہِمِ الصَّوَابْ

</h4>",1512,jameya-tur-rasheed,جائز و ناجائزامور کا بیان,جائز و ناجائز کے متفرق مسائل
2017-07-12,https://almuftionline.com/2017/07/12/768/,لے پالک  بیٹے کا حصہ  میراث,,"<h4 class=""has-text-align-center"">اَلجَوَابْ بِاسْمِ مُلْہِمِ الصَّوَابْ

</h4>",768,jameya-tur-rasheed,میراث کے مسائل,میراث کے متفرق مسائل
2017-07-11,https://almuftionline.com/2017/07/11/2630/,مشروط طلاق کب واقع ہوگی؟,,"<h4 class=""has-text-align-center"">اَلجَوَابْ بِاسْمِ مُلْہِمِ الصَّوَابْ

</h4>",2630,jameya-tur-rasheed,طلاق کے احکام,طلاق کو  کسی شرط پر معلق کرنے کا بیان
2017-07-11,https://almuftionline.com/2017/07/11/2629/,معلق طلاق کو بیوی کے سپردکرنےکاحکم,,"<h4 class=""has-text-align-center"">اَلجَوَابْ بِاسْمِ مُلْہِمِ الصَّوَابْ

</h4>",2629,jameya-tur-rasheed,طلاق کے احکام,طلاق کو  کسی شرط پر معلق کرنے کا بیان
