issued_at,link,title,question,answer,fatwa_number,dar_ul_ifta,category_lvl_1,category_lvl_2
2018-03-17,https://almuftionline.com/2018/03/17/759/,کمپنی  کی رقم ذمہ میں  ہونے  کےشبہ کاحکم,,"<h4 class=""has-text-align-center"">اَلجَوَابْ بِاسْمِ مُلْہِمِ الصَّوَابْ

</h4>",759,jameya-tur-rasheed,خرید و فروخت کے احکام,قرض اور دین سے متعلق مسائل
2018-03-14,https://almuftionline.com/2018/03/14/3395/,جنرل انشورنس کے عدم جواز کی وجہ,<p>جنرل انشورنس کو پہلے علماء جائز کہتے تھے، اب حرام کیوں کہا جا رہا ہے؟انشورنس کمپنی ہمیں سیکورٹی فراہم کرتی ہے، جیسے ہم کسی سوفٹ ویئر والے سے معاہدہ کرتے ہیں کہ جب بھی ہمارے سسٹم میں کوئی مسئلہ پیش آیا تو آپ ا س کو حل کریں گے، اس کوجائز کہا جاتا ہے، ان دونوں میں کیا فرق ہے؟</p>,"<h4 class=""has-text-align-center"">اَلجَوَابْ بِاسْمِ مُلْہِمِ الصَّوَابْ

</h4><p>ہماری معلومات کے مطابق جنرل انشورنس کے بارے میں جمہور علمائے کرام کا موقف شروع سے ہی ناجائز ہونے کا ہے۔  کیونکہ جنرل انشورنس میں جو رقم لی جاتی ہے وہ کسی شرعی معاہدے کے تحت داخل نہیں ہوتی، اس لیے اس رقم کی حیثیت شرعاً قرض کی ہے اور حادثہ پیش آنے کے وقت جو اضافی رقم دی جاتی ہے وہ قرض پر نفع ہونے کی وجہ سے سود میں داخل ہے، کیونکہ حدیث پاک میں قرض پر نفع لینے کو سود کہا گیا ہے، نیز  انشورنس میں رقم کا ملنا حادثہ پر موقوف ہوتا ہے، جس میں وقوع اور عدم وقوع کے دونوں احتمال ہوتے ہیں، پھر کتنی رقم ملے گی؟ اس کا بھی کچھ علم  نہیں ہوتا، اس لیے اس میں سود کے ساتھ جوئے اور غرر(غیر یقینی صورت حال) کا عنصر بھی پایا جاتا ہے اور یہ دونوں معاملات بھی شرعاً ناجائز اور حرام ہیں۔</p><p> باقی سوفٹ ویئر انجینئر سے کیا گیا  معاہدہ عقد صیانۃ کےتحت آتا ہے، جس  کی تفصیل یہ ہے کہ  ایک شخص سوفٹ ویئر انجینئر یا گاڑیوں کی مرمت کرنے والے دکاندار سے کہتا ہے کہ میں آپ کو سال میں اتنی رقم دوں گا، جب بھی میرا سسٹم یا  میری گاڑی خراب ہو تو آپ اس کو ٹھیک کریں  گے، مرمت کرنے والا شخص اس کو قبول کر لیتا ہے۔یہ معاملہ درج ذیل شرائط کے ساتھ جائز ہے:</p><ol>
<li>کاریگر کی اجرت طے ہو۔</li>
<li>مدت اجارہ (جتنی مدت کے لیے مرمت کروانے کا معاہدہ کیا گیا ہو) متعین ہو۔</li>
<li>جس چیز کی مرمت کروانے کا معاملہ کیا جائے اس میں طے شدہ مدت کے دوران خرابی کا غالب گمان ہو۔</li>
<li>احتیاطاً سال میں دو یا تین مرتبہ کسٹمر اس سسٹم یا گاڑی وغیرہ کا کاریگر سے معائنہ کروائے، تاکہ یقینی طور پر اجرت کو عمل کے بدلے میں قرار دیا جا سکے۔</li>
<li>    ماخذہ فتاوی دارالعلوم کراچی:<span dir=""LTR"">60/1887</span>)</li>
</ol><p>ان شرائط کے باوجود  اس معاملہ میں ایک اعتبار سے غرر کا پہلو آتا ہے، وہ یہ کہ اس میں یہ علم نہیں ہوتا کہ گاڑی یا سسٹم وغیرہ کتنی مرتبہ خراب ہو گا اور اس کو درست کرنے پر کاریگر کا کتنا خرچہ آئے گا؟  لیکن مالی معاملات میں غرر کے معتبر ہونے کے لیے فقہائے کرام رحمہم اللہ نے کچھ شرائط ذکر کی ہیں،  ان میں سے ایک شرط یہ ہے کہ وہ غرر کثیر ہو، اگر غرر یسیر ہو تو اس  سے معاملہ فاسد اور ناجائز نہ ہو گا ۔</p><p><span dir=""RTL"">عقد صیانہ میں غرر یسیر ہی ہوتا ہے، کیونکہ دکاندار اپنے تجربہ کی بنیاد پر اس حساب سے اجرت وصول کرتا ہے جتنا اس کو گاڑی وغیرہ خراب ہونے کا امکان ہوتا ہے، پھر اس کے بعد اگر بالفرض تھوڑی بہت کمی بیشی ہو تو اس میں لوگ چشم پوشی یعنی درگزر سے کام لیتے ہیں، یہی وجہ ہے کہ اس میں عام طور پر جھگڑا نہیں ہوتا۔ اس لیے  مذکورہ بالا شرائط کے ساتھ ضرورت کے پیش نظر عقد صیانہ کا معاہدہ شرعی اعتبار سے جائز اور جنرل انشورنس کے معاملے سے مختلف ہے، لہذا جنرل انشورنس کو عقد صیانہ پر قیاس کرکے جائز کہنا درست نہیں۔ </span></p>",3395,jameya-tur-rasheed,سود اور جوے کے مسائل,انشورنس کے احکام
2018-03-14,https://almuftionline.com/2018/03/14/3394/,شیئرز خریدنے کے لیے33%سے کم سودی قرض کی شرط لگانا,"<p>کمپنیز کے شیئرز خریدنے کے لیے یہ شرط لگائی جاتی ہے کہ اس کمپنی کے سودی قرضے <span dir=""LTR"">33%</span>سے کم ہوں اس کی کیا وجہ ہے؟ یہ شرط کیوں لگائی ہے؟</p>","<h4 class=""has-text-align-center"">اَلجَوَابْ بِاسْمِ مُلْہِمِ الصَّوَابْ

</h4><p>آج کل معاشرے میں ناجائز معاملات کی بہتات کی وجہ سے سو فیصد حلال کاروبار پرمشتمل کمپنیوں  کا ملنا مشکل  ہوتا ہے، ہر کمپنی کے کاروبار میں کچھ نہ کچھ ناجائز معاملات کی آمیزش ہو ہی جاتی ہے، دوسری طرف شیئرز کا کاروبار انٹرنیشنل سطح پر اتنا زیادہ پھیل چکا ہے کہ روزانہ اسٹاک ایکسچینج میں کروڑوں روپے کی خریدوفروخت ہوتی ہے، اگر یہ شرط لگا دی جائے کہ صرف اسی کمپنی کے شیئرز خریدے جائیں جس کا سو فیصد کاروبار حلال ہو تو اس سے بہت بڑا حرج لازم آئے گا۔</p><p>حدیث پاک میں چونکہ تہائی کو کثیر شمار کیا گیا ہے۔ اس لیے عصر حاضر کے علمائے کرام ضرورت کے پیش نظر شروع میں تینتیس فیصد<span dir=""LTR"">(33%)</span> سے کم سودی قرض ہونے کی صورت میں کمپنی کے شیئرز خریدنے  کی اجازت دی تھی،   اور چونکہ الحمدللہ اسلامی بینکاری اور شریعت کے مطابق کاروبار کرنے والی کمپنیوں میں دن بدن اضافہ ہو رہا ہے، اس لیے اب علمائے کرام نے تیس فیصد سے کم سودی قرض  لینے والی کمپنی کے شیئرز خریدنے کی اجازت دی ہے۔ اگر شریعہ کمپلائنس کاروبار اور اسلامک بینکنگ میں اسی طرح اضافہ ہوتا رہا تو یہ بعید نہیں کہ انشاء اللہ ایسی کمپنیاں وجود میں آجائیں جن کا کاروبار سو فیصد حلال ہو، پھر یہ شرط لگائی جا سکتی ہے کہ ایسی کمپنی کے شئرز خریدے جائیں جس کا سو فیصد کاروبار حلال ہو۔</p><p>مگریہ یاد رہے کہ یہ گنجائش صرف سودی قرضے لینے کے حوالے سے ہے، کیونکہ سودی قرض لینے سے آمدن حرام نہیں ہوتی، بلکہ صرف سودی معاہدہ کرنے اور سود دینے کا گناہ ہوتا ہے۔یہی وجہ ہے کہ اگر کوئی کمپنی سود پر قرض  دیتی ہو اور اس پر سود وصول کرتی ہو  یا کسی اور وجہ سے خود اس کی آمدن  میں حرام شامل  ہو تو اس صورت میں صرف پانچ فیصد تک کی گنجائش ہے، یعنی صرف اس کمپنی کے شیئرز خریدنا جائز ہے جس کی آمدن میں حرام کا تناسب پانچ فیصد سے زائد نہ ہو، اگر اس کی حرام آمدن اس سے زیادہ ہو تو اس کمپنی کے شیئرز خریدنا جائز نہیں۔  </p>",3394,jameya-tur-rasheed,خرید و فروخت کے احکام,شئیرزاور اسٹاک ایکسچینج کے مسائل
2018-03-14,https://almuftionline.com/2018/03/14/1907/,ماہ صفر کومنحوس سمجھنا، پیشاب کے ساتھ منی نکلنےسے غسل واجب ہوگا؟، رکعت اورسورت کی ابتداء میں بسم اللہ پڑھنا,,"<h4 class=""has-text-align-center"">اَلجَوَابْ بِاسْمِ مُلْہِمِ الصَّوَابْ

</h4>",1907,jameya-tur-rasheed,ایمان وعقائد,ایمان و عقائد کے متفرق مسائل
2018-03-14,https://almuftionline.com/2018/03/14/1559/,کیا مہرِمعجل کی عدمِ ادائیگی سے نکاح پرکوئی اثر پڑتاہے؟,,"<h4 class=""has-text-align-center"">اَلجَوَابْ بِاسْمِ مُلْہِمِ الصَّوَابْ

</h4>",1559,jameya-tur-rasheed,نکاح کا بیان,جہیز،مہر اور گھریلو سامان کا بیان
2018-03-13,https://almuftionline.com/2018/03/13/1942/,گاؤں اور بازار کے درمیان دریا حائل ہو تو سفرشرعی کی ابتداء کہاں سے ہوگی؟,,"<h4 class=""has-text-align-center"">اَلجَوَابْ بِاسْمِ مُلْہِمِ الصَّوَابْ

</h4>",1942,jameya-tur-rasheed,نماز کا بیان,مسافر کی نماز کابیان
2018-03-13,https://almuftionline.com/2018/03/13/1720/,تعمیر مسجد کی نذر صحیح نہیں ہے,,"<h4 class=""has-text-align-center"">اَلجَوَابْ بِاسْمِ مُلْہِمِ الصَّوَابْ

</h4>",1720,jameya-tur-rasheed,قسم منت اور نذر کے احکام,متفرّق مسائل
2018-03-13,https://almuftionline.com/2018/03/13/1432/,مسجد کے اندر اشتہار لگانے کا حکم,,"<h4 class=""has-text-align-center"">اَلجَوَابْ بِاسْمِ مُلْہِمِ الصَّوَابْ

</h4>",1432,jameya-tur-rasheed,نماز کا بیان,مسجدکے احکام و آداب
2018-03-13,https://almuftionline.com/2018/03/13/1431/,نعت خواں کو نعت پڑھنے کے دوران پیسے دینے کا حکم,,"<h4 class=""has-text-align-center"">اَلجَوَابْ بِاسْمِ مُلْہِمِ الصَّوَابْ

</h4>",1431,jameya-tur-rasheed,جائز و ناجائزامور کا بیان,ہدیہ اور مہمان نوازی کے مسائل
2018-03-13,https://almuftionline.com/2018/03/13/1430/,ٹی سی ایس کورئیر کا انشورنس کی مد میں پیسے لینے کا حکم,,"<h4 class=""has-text-align-center"">اَلجَوَابْ بِاسْمِ مُلْہِمِ الصَّوَابْ

</h4>",1430,jameya-tur-rasheed,سود اور جوے کے مسائل,انشورنس کے احکام
