link,title,question_html,answer_html,issued_at,fatwa_number,dar_ul_ifta,category_lvl_1,category_lvl_2,category_lvl_3,html_container
https://www.banuri.edu.pk/readquestion/ضرورت-مند-سید-کو-زکوۃ-دینا/05-08-2018,ضرورت مند سید کو زکوۃ دینا,<p><p>کیا سید کو  بضرورت مجبوری زکوٰۃ دی جاسکتی ہے؟ وہ شدید بیمار ہے، ساتھ ہی معذور بھی ہوگیا ہے۔</p></p>,"<p><p style=""text-align:justify;"">رسول اللہ صلی اللہ علیہ وسلم کا ارشاد مبارک ہے: '' یہ صدقات  (زکاۃ اور صدقاتِ واجبہ ) لوگوں کے مالوں کا میل کچیل ہیں، ان کے ذریعہ لوگوں کے نفوس اور اموال پاک ہوتے ہیں اور بلاشبہ یہ محمد(صلی اللہ علیہ وسلم) کے لیے اور آلِ محمد(صلی اللہ علیہ وسلم ) کے لیے حلال نہیں ہے۔ <span class=""ar_writing"">«إن هذه الصدقات إنما هي أوساخ الناس، وإنها لا تحل لمحمد، ولا لآل محمد»۔ (صحيح مسلم (2/ 754)</span></p><p style=""text-align:justify;"">لہذا سید کو زکاۃ دینا جائز نہیں ہے، اگر سید غریب اور محتاج ہے تو صاحبِ حیثیت مال داروں پر لازم ہے کہ وہ سادات کی امداد زکاۃ اور صدقات واجبہ کے علاوہ رقم سے کریں اور ان کو مصیبت اور تکلیف سے نجات دلائیں  اور یہ بڑا اجروثواب کا کام ہے اور حضور اکرم ﷺ کے ساتھ محبت کی دلیل ہے۔ اور ان شاء اللہ تعالیٰ آپ ﷺ کی شفاعت کی قوی امید کی جاسکتی ہے۔</p><p><span class=""ar_writing"">البحر الرائق شرح كنز الدقائق  (2/ 265):</span></p><p> </p><p style=""text-align:justify;""><span class=""ar_writing"">'' (قوله: وبني هاشم ومواليهم) أي لا يجوز الدفع لهم ؛ لحديث البخاري: «نحن - أهل بيت - لا تحل لنا الصدقة»، ولحديث أبي داود: «مولى القوم من أنفسهم، وإنا لا تحل لنا الصدقة» ''۔</span>فقط واللہ اعلم</p></p><hr class=""big-hr""/>",05-08-2018,143909201707,banuri.edu.pk,زکات,زکوٰۃ / صدقات,مصارف زکوٰۃ,"<div class=""col-md-12 sawal-jawab""><h3 class=""question_heading"">سوال</h3><p><p>کیا سید کو  بضرورت مجبوری زکوٰۃ دی جاسکتی ہے؟ وہ شدید بیمار ہے، ساتھ ہی معذور بھی ہوگیا ہے۔</p></p><h4 class=""question_heading"">جواب</h4><p><p style=""text-align:justify;"">رسول اللہ صلی اللہ علیہ وسلم کا ارشاد مبارک ہے: '' یہ صدقات  (زکاۃ اور صدقاتِ واجبہ ) لوگوں کے مالوں کا میل کچیل ہیں، ان کے ذریعہ لوگوں کے نفوس اور اموال پاک ہوتے ہیں اور بلاشبہ یہ محمد(صلی اللہ علیہ وسلم) کے لیے اور آلِ محمد(صلی اللہ علیہ وسلم ) کے لیے حلال نہیں ہے۔ <span class=""ar_writing"">«إن هذه الصدقات إنما هي أوساخ الناس، وإنها لا تحل لمحمد، ولا لآل محمد»۔ (صحيح مسلم (2/ 754)</span></p><p style=""text-align:justify;"">لہذا سید کو زکاۃ دینا جائز نہیں ہے، اگر سید غریب اور محتاج ہے تو صاحبِ حیثیت مال داروں پر لازم ہے کہ وہ سادات کی امداد زکاۃ اور صدقات واجبہ کے علاوہ رقم سے کریں اور ان کو مصیبت اور تکلیف سے نجات دلائیں  اور یہ بڑا اجروثواب کا کام ہے اور حضور اکرم ﷺ کے ساتھ محبت کی دلیل ہے۔ اور ان شاء اللہ تعالیٰ آپ ﷺ کی شفاعت کی قوی امید کی جاسکتی ہے۔</p><p><span class=""ar_writing"">البحر الرائق شرح كنز الدقائق  (2/ 265):</span></p><p> </p><p style=""text-align:justify;""><span class=""ar_writing"">'' (قوله: وبني هاشم ومواليهم) أي لا يجوز الدفع لهم ؛ لحديث البخاري: «نحن - أهل بيت - لا تحل لنا الصدقة»، ولحديث أبي داود: «مولى القوم من أنفسهم، وإنا لا تحل لنا الصدقة» ''۔</span>فقط واللہ اعلم</p></p><hr class=""big-hr""/><div class=""col-sm-6 col-md-6""><p class=""question_heading"" style=""color:#73161f"">فتویٰ نمبر : <a id=""fatwa_number"">143909201707</a></p></div><div class=""col-sm-6 col-md-6""><p style=""color:#73161f"">دارالافتاء :
                                جامعہ علوم اسلامیہ علامہ محمد یوسف بنوری ٹاؤن</p></div><hr class=""big-hr""/><div class=""col-sm-4 col-md-4""><div class=""tag""><a href=""https://www.banuri.edu.pk/questions/kitab/zakat""><i class=""icon-docs-bold""></i> زکات</a></div></div><div class=""col-sm-4 col-md-4""><div class=""tag""><a href=""https://www.banuri.edu.pk/questions/bab/zakat-sadaqat""><i class=""icon-docs-bold""></i> زکوٰۃ / صدقات</a></div></div><div class=""col-sm-4 col-md-4""><div class=""tag""><a href=""https://www.banuri.edu.pk/questions/fasal/masarif-e-zakat""><i class=""icon-docs-bold""></i> مصارف زکوٰۃ</a></div></div></div>"
https://www.banuri.edu.pk/readquestion/آبائی-گاؤں-میں-تدفین-کی-وصیت-کرنا/16-07-2018,آبائی گاؤں میں تدفین کی وصیت کرنا,,"<hr class=""big-hr""/>",16-07-2018,143909201400,banuri.edu.pk,معاملات,وراثت / وصیت,میت کی وصیت اور اقرارات,"<div class=""col-md-12 sawal-jawab""><h3 class=""question_heading"">سوال</h3><p><p style=""text-align:justify;"">میرے والد صاحب نے وصیت کی تھی کہ میری تدفین میرے آبائی گاؤں (آزاد کشمیر)ہو، اور ہم سب اس وقت کراچی میں رہائش پذیر ہیں۔انتقال کے وقت والد صاحب بڑے بھائی کے پاس تھے، اور باقی بھائیوں کو وصیت کا علم نہیں تھا۔اور انتقال کے وقت وصیت پر عمل نہیں ہو ا، اس صورت میں کون فرد ان تمام باتوں کا جواب دہ ہے ؟</p></p><h4 class=""question_heading"">جواب</h4><p><p style=""margin-left:9pt;margin-right:10.3pt;text-align:justify;"">مذکورہ وصیت پر عمل کرنا شرعاً ضروری نہیں تھا، بلکہ آپ کے والد مرحوم کا انتقال اگر آزاد کشمیر سے باہر مثلاً کراچی میں ہوا تو ان کی میت منتقل کرنا اور مذکورہ وصیت پر عمل کرنا شرعاً درست نہیں تھا، لہٰذا اس وصیت پرعمل نہ ہونے کی وجہ سے کوئی بھی گناہ گار اور جواب دہ نہیں ہے۔</p><p style=""margin-left:9pt;margin-right:10.3pt;text-align:justify;""><span class=""ar_writing"">الدر المختار وحاشية ابن عابدين (رد المحتار) (6/ 666)</span></p><p style=""margin-left:9pt;margin-right:10.3pt;text-align:justify;""><span class=""ar_writing"">'' أوصى بأن يصلي عليه فلان أو يحمل بعد موته إلى بلد آخر أو يكفن في ثوب كذا أو يطين قبره أو يضرب على قبره قبة أو لمن يقرأ عند قبره شيئاً معيناً فهي باطلة، سراجية، وسنحققه''.</span>فقط واللہ اعلم</p></p><hr class=""big-hr""/><div class=""col-sm-6 col-md-6""><p class=""question_heading"" style=""color:#73161f"">فتویٰ نمبر : <a id=""fatwa_number"">143909201400</a></p></div><div class=""col-sm-6 col-md-6""><p style=""color:#73161f"">دارالافتاء :
                                جامعہ علوم اسلامیہ علامہ محمد یوسف بنوری ٹاؤن</p></div><hr class=""big-hr""/><div class=""col-sm-4 col-md-4""><div class=""tag""><a href=""https://www.banuri.edu.pk/questions/kitab/muamlat""><i class=""icon-docs-bold""></i> معاملات</a></div></div><div class=""col-sm-4 col-md-4""><div class=""tag""><a href=""https://www.banuri.edu.pk/questions/bab/wirasat-wasyat""><i class=""icon-docs-bold""></i> وراثت / وصیت</a></div></div><div class=""col-sm-4 col-md-4""><div class=""tag""><a href=""https://www.banuri.edu.pk/questions/fasal/mayyit-ki-wasiyyat-or-iqrarat""><i class=""icon-docs-bold""></i> میت کی وصیت اور اقرارات</a></div></div></div>"
https://www.banuri.edu.pk/readquestion/میراث-سے-متعلق-ایک-سوال/03-08-2018,میراث سے متعلق ایک سوال,"<p><p style=""text-align:justify;"">کیا فرماتے مفتیان کرام اس مسئلے کے بارے میں:</p><p style=""text-align:justify;"">ایک بندہ فوت ہوا، جس کے وارث 2بیوائیں، 5بیٹیاں 4بہنیں، 2بھائی ہیں، جب کہ میت کا مالِ وراثت ان کا اپنا کمائی کا  تھا، باپ وغیرہ کی جائیداد نہیں ہے ، اب میت کا جو مال ہے اس میں کون کون شریک ہوگا؟ اور ہر ایک کو کتنا حصہ ملے گا؟ برائے مہربانی وضاحت فرما دیں!</p></p>","<p><p style=""text-align:justify;"">صورتِ مسئولہ میں مرحوم کی جائیداد میں سے مرحوم کی تجہیز و تکفین اور قرضہ جات کی ادائیگی کے بعد اگر کوئی جائز وصیت ہو تو اسے ایک تہائی ترکہ سے نافذ کرنے کے بعد مرحوم کی کل جائیداد منقولہ و غیر منقولہ کو 960 حصوں میں تقسیم کر کے اس  میں سے مرحوم کی ہر ایک بیوہ کو 60 حصے، مرحوم کی ہر ایک بیٹی کو 128 حصے، مرحوم کے ہر ایک بھائی کو 50 حصے اور مرحوم کی ہر ایک بہن کو 25 حصے ملیں گے۔</p><p style=""text-align:justify;"">یعنی مرحوم کی ہر ایک بیوی کو چھ اعشاریہ پچیس  (6ء25) فیصد، مرحوم کی ہر ایک بیٹی کو تیرہ اعشاریہ تینتیس ( 13ء33) فیصد، مرحوم کے ہر ایک بھائی  کو پانچ اعشاریہ بیس (5ء21) فیصد اور  ہر ایک بہن کو دو اعشاریہ چھ (2ء6) فیصد ملے گا۔ فقط واللہ اعلم</p></p><hr class=""big-hr""/>",03-08-2018,143909201672,banuri.edu.pk,حقوق و آدابِ معاشرت,حقوق,اولاد کے حقوق,"<div class=""col-md-12 sawal-jawab""><h3 class=""question_heading"">سوال</h3><p><p style=""text-align:justify;"">کیا فرماتے مفتیان کرام اس مسئلے کے بارے میں:</p><p style=""text-align:justify;"">ایک بندہ فوت ہوا، جس کے وارث 2بیوائیں، 5بیٹیاں 4بہنیں، 2بھائی ہیں، جب کہ میت کا مالِ وراثت ان کا اپنا کمائی کا  تھا، باپ وغیرہ کی جائیداد نہیں ہے ، اب میت کا جو مال ہے اس میں کون کون شریک ہوگا؟ اور ہر ایک کو کتنا حصہ ملے گا؟ برائے مہربانی وضاحت فرما دیں!</p></p><h4 class=""question_heading"">جواب</h4><p><p style=""text-align:justify;"">صورتِ مسئولہ میں مرحوم کی جائیداد میں سے مرحوم کی تجہیز و تکفین اور قرضہ جات کی ادائیگی کے بعد اگر کوئی جائز وصیت ہو تو اسے ایک تہائی ترکہ سے نافذ کرنے کے بعد مرحوم کی کل جائیداد منقولہ و غیر منقولہ کو 960 حصوں میں تقسیم کر کے اس  میں سے مرحوم کی ہر ایک بیوہ کو 60 حصے، مرحوم کی ہر ایک بیٹی کو 128 حصے، مرحوم کے ہر ایک بھائی کو 50 حصے اور مرحوم کی ہر ایک بہن کو 25 حصے ملیں گے۔</p><p style=""text-align:justify;"">یعنی مرحوم کی ہر ایک بیوی کو چھ اعشاریہ پچیس  (6ء25) فیصد، مرحوم کی ہر ایک بیٹی کو تیرہ اعشاریہ تینتیس ( 13ء33) فیصد، مرحوم کے ہر ایک بھائی  کو پانچ اعشاریہ بیس (5ء21) فیصد اور  ہر ایک بہن کو دو اعشاریہ چھ (2ء6) فیصد ملے گا۔ فقط واللہ اعلم</p></p><hr class=""big-hr""/><div class=""col-sm-6 col-md-6""><p class=""question_heading"" style=""color:#73161f"">فتویٰ نمبر : <a id=""fatwa_number"">143909201672</a></p></div><div class=""col-sm-6 col-md-6""><p style=""color:#73161f"">دارالافتاء :
                                جامعہ علوم اسلامیہ علامہ محمد یوسف بنوری ٹاؤن</p></div><hr class=""big-hr""/><div class=""col-sm-4 col-md-4""><div class=""tag""><a href=""https://www.banuri.edu.pk/questions/kitab/huqooq-muashret""><i class=""icon-docs-bold""></i> حقوق و آدابِ معاشرت</a></div></div><div class=""col-sm-4 col-md-4""><div class=""tag""><a href=""https://www.banuri.edu.pk/questions/bab/bahmi-huqooq""><i class=""icon-docs-bold""></i> حقوق</a></div></div><div class=""col-sm-4 col-md-4""><div class=""tag""><a href=""https://www.banuri.edu.pk/questions/fasal/olad-ky-hoqoq""><i class=""icon-docs-bold""></i> اولاد کے حقوق</a></div></div></div>"
https://www.banuri.edu.pk/readquestion/قرض-کے-بوجھ-سے-خلاصی-کے-لیے-وظیفہ/05-08-2018,قرض کے بوجھ سے خلاصی کے لیے وظیفہ,"<p><p style=""text-align:justify;"">مجھے کوئی دعا یا وظیفہ بتادیں کہ میرے اوپر قرض ہے, اللّہ کی مہربانی سے ادا ہو جاۓ !</p></p>","<p><p style=""text-align:justify;"">قرض کی ادائیگی کے لیے ان چند باتوں پر عمل کریں، ان شاء اللہ ان کی برکت سے اللہ تعالی قرض کے بوجھ سے خلاصی عطا فرمائیں گے :</p><p style=""text-align:justify;"">(1) سب سے پہلے گناہوں سے توبہ کریں اور استغفار کی کثرت کریں، استغفار کی کثرت سے مال واولاد میں ہرطرح کی خیروبرکت کا وعدہ قرآن مجید میں موجود ہے۔</p><p style=""text-align:justify;"">(2) نمازو روزے کی پابندی کریں۔</p><p style=""text-align:justify;"">(3) زکاۃ واجب ہے تو وقت پر اداکردیں۔</p><p style=""text-align:justify;"">(4) سود سے دور رہیں۔</p><p style=""text-align:justify;"">(5)روزانہ مغرب یا عشاء کے بعد سورہ واقعہ پڑھا کریں۔</p><p style=""text-align:justify;"">(6) یہ دعا روزانہ 21 بار پڑھیں :'' <span class=""ar_writing"">اَللّٰهُمَّ اکْفِنِيْ بِحَلَالِكَ عَنْ حَرَامِكَ وَأَغْنِنی بِفَضْلِكَ عَمَّنْ سِوَاكَ''</span>.</p><p style=""text-align:justify;"">(7) ہر نماز کے بعد یہ دعا پڑھیں:<span class=""ar_writing"">''اَللّٰهُمَّ إِنِّيْ أَعُوْذُبِكَ مِنَ الْهَمِّ وَالْحَزَنِ، وَأَعُوْذُبِكَ مِنَ الْعَجْزِ وَالْكَسْلِ، وَأَعُوْذُبِكَ مِنْ غَلَبَةِ الدَّيْنِ وَقَهْرِ الرِّجَالِ.''</span></p><p style=""text-align:justify;"">(۷) دورد شریف صبح وشام ۲۱-۲۱ مرتبہ پڑھاکریں۔ اور اسی طرح سورۃ الشوریٰ کے دوسرے رُکوع کی آخری آیت: <span class=""ar_writing"">“اَللهُ لَطِیْفٌ بِعِبَادِه ..</span>.الخ“ (۲۵واں پارہ، سورۃ الشوریٰ آیت نمبر: 19) آخر تک اسی (80)مرتبہ فجر کے بعد پڑھا کریں، اگر داڑھی منڈاتے یا کتراتے ہیں تو اس سے توبہ کریں۔ فقط واللہ اعلم</p></p><hr class=""big-hr""/>",05-08-2018,143909201708,banuri.edu.pk,علوم و فنون,دعائیں، اوراد اور وظائف,اوراد ووظائف,"<div class=""col-md-12 sawal-jawab""><h3 class=""question_heading"">سوال</h3><p><p style=""text-align:justify;"">مجھے کوئی دعا یا وظیفہ بتادیں کہ میرے اوپر قرض ہے, اللّہ کی مہربانی سے ادا ہو جاۓ !</p></p><h4 class=""question_heading"">جواب</h4><p><p style=""text-align:justify;"">قرض کی ادائیگی کے لیے ان چند باتوں پر عمل کریں، ان شاء اللہ ان کی برکت سے اللہ تعالی قرض کے بوجھ سے خلاصی عطا فرمائیں گے :</p><p style=""text-align:justify;"">(1) سب سے پہلے گناہوں سے توبہ کریں اور استغفار کی کثرت کریں، استغفار کی کثرت سے مال واولاد میں ہرطرح کی خیروبرکت کا وعدہ قرآن مجید میں موجود ہے۔</p><p style=""text-align:justify;"">(2) نمازو روزے کی پابندی کریں۔</p><p style=""text-align:justify;"">(3) زکاۃ واجب ہے تو وقت پر اداکردیں۔</p><p style=""text-align:justify;"">(4) سود سے دور رہیں۔</p><p style=""text-align:justify;"">(5)روزانہ مغرب یا عشاء کے بعد سورہ واقعہ پڑھا کریں۔</p><p style=""text-align:justify;"">(6) یہ دعا روزانہ 21 بار پڑھیں :'' <span class=""ar_writing"">اَللّٰهُمَّ اکْفِنِيْ بِحَلَالِكَ عَنْ حَرَامِكَ وَأَغْنِنی بِفَضْلِكَ عَمَّنْ سِوَاكَ''</span>.</p><p style=""text-align:justify;"">(7) ہر نماز کے بعد یہ دعا پڑھیں:<span class=""ar_writing"">''اَللّٰهُمَّ إِنِّيْ أَعُوْذُبِكَ مِنَ الْهَمِّ وَالْحَزَنِ، وَأَعُوْذُبِكَ مِنَ الْعَجْزِ وَالْكَسْلِ، وَأَعُوْذُبِكَ مِنْ غَلَبَةِ الدَّيْنِ وَقَهْرِ الرِّجَالِ.''</span></p><p style=""text-align:justify;"">(۷) دورد شریف صبح وشام ۲۱-۲۱ مرتبہ پڑھاکریں۔ اور اسی طرح سورۃ الشوریٰ کے دوسرے رُکوع کی آخری آیت: <span class=""ar_writing"">“اَللهُ لَطِیْفٌ بِعِبَادِه ..</span>.الخ“ (۲۵واں پارہ، سورۃ الشوریٰ آیت نمبر: 19) آخر تک اسی (80)مرتبہ فجر کے بعد پڑھا کریں، اگر داڑھی منڈاتے یا کتراتے ہیں تو اس سے توبہ کریں۔ فقط واللہ اعلم</p></p><hr class=""big-hr""/><div class=""col-sm-6 col-md-6""><p class=""question_heading"" style=""color:#73161f"">فتویٰ نمبر : <a id=""fatwa_number"">143909201708</a></p></div><div class=""col-sm-6 col-md-6""><p style=""color:#73161f"">دارالافتاء :
                                جامعہ علوم اسلامیہ علامہ محمد یوسف بنوری ٹاؤن</p></div><hr class=""big-hr""/><div class=""col-sm-4 col-md-4""><div class=""tag""><a href=""https://www.banuri.edu.pk/questions/kitab/uloom-funoon""><i class=""icon-docs-bold""></i> علوم و فنون</a></div></div><div class=""col-sm-4 col-md-4""><div class=""tag""><a href=""https://www.banuri.edu.pk/questions/bab/adeya-azkar""><i class=""icon-docs-bold""></i> دعائیں، اوراد اور وظائف</a></div></div><div class=""col-sm-4 col-md-4""><div class=""tag""><a href=""https://www.banuri.edu.pk/questions/fasal/aurad-o-wzaif""><i class=""icon-docs-bold""></i> اوراد ووظائف</a></div></div></div>"
