issued_at,link,title,question,answer,fatwa_number,dar_ul_ifta,category_level_1,category_level_2
01-Sep-2020,https://darulifta-deoband.com/home/ur/islamic-names/41888,اسلامی نام,الحمد للہ، ہمارے گھر میں اللہ کی رحمت آئی ہے، میں نے اپنی بیٹی کے لیے دو نام سوچا ہے، (۱) ہانیہ(خوش وخرم، خوش رہنے والی ) (۲) رمین (تابعدار اورفرمانبردار )۔ براہ کرم، بتائیں کہ یہ نام کیسے ہیں؟,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 1517-1517/M=11/1433

”ہانیہ“ نام رکھ دیيں، یہ بہتر ہے، ”رمین“ کا لفظ اور اس کا معنی مجھے کہیں نہیں مل سکا، اس لیے اس کے بارے میں کچھ لکھنے سے معذرت ہے۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",41888,deoband,متفرقات,اسلامی نام
01-Sep-2020,https://darulifta-deoband.com/home/ur/islamic-names/41709,اسلامی نام,میرا سوال یہ ہے کہ میرا نام جاوید کمال ہے، کیا یہ نام اسلامی ہے اور اس کے کیا معنی ہے؟,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 1500-1122/D=10/1433

یہ نام مسلمان رکھتے ہیں، معنی بھی ٹھیک ہیں اس لیے کوئی حرج نہیں۔ 
جاوید: کے معنی ہمیشہ ہمیش کے لیے دائمی۔
کمال: پورا ہونا ، ہنر، لیاقت۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",41709,deoband,متفرقات,اسلامی نام
01-Sep-2020,https://darulifta-deoband.com/home/ur/islamic-names/41644,نام کی تبدیلی,۰۵ جولائی ۲۰۱۲ کو الحمد اللہ میری بیٹی پیدا ہوئی تھی اور میں نے اسکا نام عفیفہ رکھا ہے۔بچی کبھی کبھی بہت زیادہ روتی ہے۔کچھ لوگوں کا کہنا ہے کہ یہ نام وزنی ہے اس بچی کے لئے لہٰذا یہ نام بدل لیا جاتے۔کیا اس نام کے مطلب میں ایسی کوئی بات ہے جس سے پتا چلے کے یہ نام بچی کے لئے مناسب نہیں؟ کیا شریعت میں ایسی کوئی بات ہوتی ہے؟ اگر ہے تو کوئی مناسب نام تجویز فرما دیجئے,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 1459-934/L=11/1433

”عفیفہ“ کے معنی پاک دامن کے ہیں، یہ نام عمدہ اور بہتر ہے، اس نام کے تبدیل کرنے کی ضرورت نہیں ہے، اس نام میں ایسی کوئی بات نہیں ہے جس کی وجہ سے اس کو تبدیل کیا جائے، بچے تو روتے ہی ہیں، کوئی کم روتا ہے کوئی زیادہ۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",41644,deoband,متفرقات,اسلامی نام
01-Sep-2020,https://darulifta-deoband.com/home/ur/islamic-names/41589,نام كے بارے میں,میرا نام عبدل ناصر ہے اور کئی عالموں کی طرف سے اس پر سوال اٹھایا گیا ہے ، آپ مجھے یہ بتائیں کہ کیا مجھے یہ نام بدلنا چاہئے ؟,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 1584-1078/H=11/1433

معلوم نہیں کن وجوہات کی بنیاد پر یہ سوال اٹھایا گیا، وہ وجوہات ان سے لکھواکر منسلک کرتے۔
(۲) ہم تو بدلنے کی ضرورت نہیں سمجھتے ، باقی آپ کسی مصلحت سے بدلنا چاہیں تو اس میں کچھ مانع نہیں۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",41589,deoband,متفرقات,اسلامی نام
01-Sep-2020,https://darulifta-deoband.com/home/ur/islamic-names/41223,مائدہ نام رکھنا,لڑکی کا مائدہ نام رکھنا کیسا ہے؟اس کا مطلب کیا ہے؟,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 1378-1381/M=9/1433

مائدہ کے معنی ہیں: دسترخوان، کھانا، زمین کا دائرہ، جھکنے والی (مصباح اللغات) لڑکی کا نام مائدہ رکھ سکتے ہیں۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",41223,deoband,متفرقات,اسلامی نام
01-Sep-2020,https://darulifta-deoband.com/home/ur/islamic-names/41153,کیا میرے گھر کا نام کائنات کے ساتھ جوڑ کر رکھا جا سکتا ہے؟ مثال کے طور پر کاینات علیم؟,کیا میرے گھر کا نام کائنات کے ساتھ جوڑ کر رکھا جا سکتا ہے؟ مثال کے طور پر کاینات علیم؟,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 1532-1009/H=10/1433

مکان کا نام اِس انداز سے رکھنا درست نہیں بلکہ مکروہ ہے۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",41153,deoband,متفرقات,اسلامی نام
01-Sep-2020,https://darulifta-deoband.com/home/ur/islamic-names/40913,نعمان كے معنی بتادیں,میرا نام نعمان ہے، اس کے معنی بتا دیں ۔ اللہ آپ کے علم وہ عمل میں برکت عطا فرماے ۔,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 1348-1355/M=9/1433

نعمان کے معنی خوشبو، ایک خوشبودار پھول جو سرخ رنگ کا ہوتا ہے، نام عمدہ ہے، مشہور امام اور مجتہد حضرت ابوحنیفہ رحمہ اللہ کا اسم گرامی بھی نعمان ہے۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",40913,deoband,متفرقات,اسلامی نام
01-Sep-2020,https://darulifta-deoband.com/home/ur/islamic-names/40877,اسلامی نام,میں یہ پوچھنا چاہتی ہوں کہ شہیر عثمان اور عمر کے کیا مطلب ہیں؟ اوراذان نام بھی آج کل لوگ رکھ رہے ہیں کیا یہ ٹھیک ہے؟ فاطمہ، ماریہ، امین اور شاذیہ نامو ں کے کیا معنی ہیں؟,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 1406-1047/D=10/1433

شہیر کے معنی مشہور، عثمان ایک جلیل القدر صحابی خلیفہ راشد کا نام ہے۔ عمر بھی خلیفہ راشد جلیل القدر صحابی کا نام ہے، اس طرح کے ناموں میں لغت کے اعتبار سے معنی نہیں دیکھنا چاہیے، ان ناموں کے بہتر اور بابرکت ہونے کے لیے یہ کافی ہے کہ یہ صحابی رسول کے نام ہیں۔ 
فاطمہ: آنحضرت صلی اللہ علیہ وسلم کی لاڈلی صاحبزادی کا نام ہے۔ 
ماریہ: ان باندی کا نام ہے جو آنحضرت صلی اللہ علیہ وسلم کو بادشاہ کی طرف سے ہدیہ میں ملی تھی پھر آپ صلی اللہ علیہ وسلم کے تصرف میں رہیں، اور ان سے آپ کے صاحبزادے ابراہیم پیدا ہوئے۔
امین: امانت دار۔
شاذیہ: عجیب، انوکھا، نادر
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",40877,deoband,متفرقات,اسلامی نام
31-Aug-2020,https://darulifta-deoband.com/home/ur/islamic-names/40794,كيا ہادیہ نام درست هے؟,(۱) ہادیہ نام درست ہے؟ اور کیا میں اپنی بچی کا رکھ سکتاہوں؟ کسی حدیث میں ہادیہ نام رکھنے کی ممانعت تو نہیں آئی ہے؟اگر ممانعت آئی ہے تو کیا اس کی جگہ ہدی رکھ سکتے ہیں؟,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 1325-1324/M=9/1433

کسی حدیث میں ہادیہ نام رکھنے کی ممانعت نظر سے نہیں گزری، بچی کا نام ہادیہ رکھنے میں حرج نہیں لیکن تردد ہے تو اسے چھوڑدیں، صحابیات کے نام میں سے کوئی تجویز کرلیں، ہدی نام رکھ سکتے ہیں۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",40794,deoband,متفرقات,اسلامی نام
01-Sep-2020,https://darulifta-deoband.com/home/ur/islamic-names/40788,کیا سدرہ نام لڑکی کا رکھ سکتے ہیں؟ اس کے کیامعنی ہے؟,کیا سدرہ نام لڑکی کا رکھ سکتے ہیں؟ اس کے کیامعنی ہے؟,"<p>بسم الله الرحمن الرحيم</p><p> فتوی: 1288-1288/M=9/1433

سِدرہ کے معنی ہیں: بیری کا درخت، لڑکی کا یہ نام رکھنے میں مضائقہ نہیں، لیکن اچھا یہ ہے کہ صحابیات کے نام پر نام رکھ لیں۔
</p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",40788,deoband,متفرقات,اسلامی نام
