issued_at,link,title,question,answer,fatwa_number,dar_ul_ifta,category_level_1,category_level_2
03-Apr-2021,https://darulifta-deoband.com/home/ur/islamic-names/604055,محمد حاشر نام ركھنا كیسا ہے؟,میں اپنے بیٹے کا نام محمد فیضان یا محمد حاشر رکھنا چاہتا ہوں۔ اسلامی تعلیمات کی روشنی میں راہنمائی فرمائیں کہ کونسا نام زیادہ موزوں اور بہتر ہے ۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa:674-527/N=8/1442</p><p>&nbsp;” حاشر“ تو حضرت اقدس نبی کریم صلی اللہ تعالی علیہ وسلم کا وصفی نام ہے، یعنی: وہ ذات جو قیامت کے دن سب سے پہلے قبر سے اٹھے گی ( مشکوة المصابیح ومرقاة المفاتیح) اور فیضان کے معنی ہیں: کسی چیز کا پہنچنا، مثلاً اللہ تعالی کی رحمت کا پہنچنا اور فیضان کے ساتھ بھی آپ نے لفظ ”محمد“ لگایا ہے، جو حضرت اقدس نبی کریم صلی اللہ تعالی علیہ وسلم کا نام مبارک ہے، پس ”محمد حاشر“ اور ”محمد فیضان“ دونوں نام اچھے ہیں، آپ دونوں میں سے جو نام چاہیں ، رکھ سکتے ہیں۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",604055,deoband,متفرقات,اسلامی نام
10-Jun-2021,https://darulifta-deoband.com/home/ur/islamic-names/604045,محمد عکاشہ نام کیسا ہے,میرا سوال ہے کہ محمد عکاشہ پورا نام کیسا ہے ۔ اس کا مطلب ٹھیک ہے کیا؟ پلیز رہنمائی کریں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa : 852-689/B=10/1442</p><p>&nbsp;عکاشہ صحابی کا نام ہے، صحابی کے نام پر نام رکھنا بہتر ہے اور بابرکت ہے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",604045,deoband,متفرقات,اسلامی نام
10-Jun-2021,https://darulifta-deoband.com/home/ur/islamic-names/604044,عروش فاطمہ نام کیسا ہے ؟,میرا سوال یہ ہے کہ عروش فاطمہ نام کیسا ہے ؟ میری بیٹی کا نام عروش فاطمہ ہے ۔ اور وہ بیمار رہتی ہے ۔ اس کی پیدائش 10 فروری 2019 کو ہوئی تھی۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa : 851-688/B=10/1442</p><p>&nbsp;یہ نام مناسب نہیں ہے۔ آپ صرف فاطمہ نام رکھ دیں، یہ بہت بابرکت نام ہے۔ رسول اللہ صلی اللہ علیہ وسلم کی محبوب و چہیتی بیٹی کا نام ہے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",604044,deoband,متفرقات,اسلامی نام
06-Apr-2021,https://darulifta-deoband.com/home/ur/islamic-names/604012,آسیہ سلام اور عبد اللہ سلام كیسے نام ہیں؟,میری بیٹی کا نام شیخ آسیہ سلام ہے اور میرے بیٹے کا نام شیخ عبداللّٰہ سلام ہے ۔ براے ٴ مہربانی تشریح فرما دیں کہ یہ نام اسلامی نقطہ نظر سے کیسے ہیں؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa : 700-577/D=08/1442</p><p>&nbsp;آسیہ کے معنی: ستون اور مضبوط بنیاد والی عمارت کے ہیں۔ یہ ایک نیک خاتون کا نام ہے جو فرعون کی بیوی تھیں اور حضرت موسیٰ علیہ السلام پر ایمان لائی تھیں، ان کی بڑی فضیلت حدیث میں آئی ہے۔</p><p>پس شیخ آسیہ سلام اور شیخ عبد اللہ سلام نام رکھنے میں اسلامی نقطہٴ نظر سے کوئی حرج نہیں۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",604012,deoband,متفرقات,اسلامی نام
03-Apr-2021,https://darulifta-deoband.com/home/ur/islamic-names/603930,افشاں نام ركھنا كیسا ہے؟,براہ کرم،لڑکے کا نام افشان (Afshan) کا معنی بتائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa : 797-572/B=08/1442</p><p>&nbsp;افشاں کے معنی سونے چاندی کی کترن، مقیش کی باریک کترن جن کو عورتیں خوبصورتی کے لئے اپنے بالوں پر چھڑکتی ہیں یا ماتھے پر چنتی ہیں۔ یہ لفظ لڑکے کے نام کے لئے موزوں نہیں ہے۔ فرحان، سعدان، نعمان، حسان، عفان، عدنان، سفیان وغیرہ میں سے جو نام پسند آئے رکھ لیں۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",603930,deoband,متفرقات,اسلامی نام
20-Mar-2021,https://darulifta-deoband.com/home/ur/islamic-names/603927,ان تینوں میں كونسا نام بہتر ہے: مِنہا، مَنہا، مہ نور؟,میں نے اپنی بیٹی کے نام کے لیے تین نام چنے ہیں، ان ناموں کے معنی بتائیں ، نیز بتائیں کہ ان میں سے کونسا نام زیادہ بہترہے؟(۱) منہا (Minha) ، (۲) منہا (Manha)،(۳) مہ نور (Mahnoor)۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa : 634-520/M=07/1442</p><p>&nbsp;اگر انہی تین ناموں سے تجویز کرنا چاہتے ہیں تو نمبر (۳) (مہ نور) نام رکھ سکتے ہیں۔ لیکن اچھا یہ ہے کہ ازواج مطہرات یا دیگر صحابیات کے نام پر کوئی نام منتخب کرلیں مثلاً میمونہ ، حفصہ، خنساء وغیرہا۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",603927,deoband,متفرقات,اسلامی نام
20-Sep-2023,https://darulifta-deoband.com/home/ur/islamic-names/603914,بچی كا نام فاطمہ كوثر ركھنا؟,میری بچی /۰۲/۱۹،۲۰۲۰کو پیدا ہوئی ہے الحمداللہ کیا اس بچی کا نام فاطمہ کوثر رکھ سکتیں ہیں ؟ پہلے دو بچیوں کے نام کے آخر میں کوثر لگا ہے ؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa : 810-559/B=08/1442</p><p>&nbsp;جی ہاں! بچی کا نام ”فاطمہ کوثر“ رکھ سکتے ہیں۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",603914,deoband,متفرقات,اسلامی نام
11-Apr-2021,https://darulifta-deoband.com/home/ur/islamic-names/603868,محمد رازق نام رکھنا  كیسا ہے؟,بعض لوگ کہتے ہیں کہ محمد رازق نام رکھنا ٹھیک نہیں ہے ۔ برائے مہربانی رہنمائی فرمائیں۔,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa:652-535/N=8/1442</p><p>&nbsp;رازق کا بہ طور مجاز غیر اللہ پر بھی اطلاق جائز ہے، عربی کا مشہور جملہ ہے: رَزَقَ الأَمِیْرُ الجُنْدَ (تاج العروس، ۲۵: ۳۳۶، ط: الکویت)، یعنی: امیر الموٴمنین نے لشکریوں کو ان کا وظیفہ دیا ، نیز علامہ قرطبی نے لکھا ہے کہ لفظ رازق اگر نکرہ ہو تو اس کا بندے پر اطلاق درست ہے؛ لہٰذا محمد رازق نام رکھنا جائز ہے؛ البتہ اگر عبد الرازق یا محمد عبد الرازق کرلیا جائے تو بہتر ہے؛ کیوں کہ اس میں تاویل ِمجاز کی ضرورت نہ ہوگی، نیز عام لوگوں کو اشکال بھی نہ ہوگا۔</p><p>ویجوز إجراوٴہ علی العبد وصفاً منکراً إذا وجد مدلولہ فیہ بلا خلاف ویدل علیہ قولہ تعالی: ﴿وأنت خیر الرازقین﴾؛ فإن أفعل إنما یستعمل بعد المشارکة (الأسنی في شرح أسماء اللّٰہ الحسنی، ۱: ۲۷۷)۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",603868,deoband,متفرقات,اسلامی نام
20-Sep-2023,https://darulifta-deoband.com/home/ur/islamic-names/603821,بیٹی كا كیا نام ركھنا چاہیے؟,میرے بیٹے کا نام محمد ہے ، اب بیٹی پیدا ہوئی ہے ، اس کا کیا نام رکھنا بہتر ہے ؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa:669-440/sd=8/1442</p><p>&nbsp;آپ حضرات صحابیات رضی اللہ عنہن اور نیک خواتین کے ناموں میں سے کسی نام کا انتخاب کرلیں، مثلاً: زنیرہ، امیمہ، فاطمہ، حلیمہ، ماریہ وغیرہ۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",603821,deoband,متفرقات,اسلامی نام
16-Mar-2021,https://darulifta-deoband.com/home/ur/islamic-names/603811,ظہیر الاسلام نام ركھنا كیسا ہے؟,میرے نومولود بیٹے کے نام ظہیر الاسلام (Zahir-ul-islam) کے بارے میں رہنمائی فرمائیں، کیا یہ نام مناسب ہے؟ اور کیا اس کی انگریزی اسپیلینگ درست ہے؟,"<p>بسم الله الرحمن الرحيم</p><p> </p><p>Fatwa : 609-505/M=07/1442</p><p>&nbsp;جی، ظہیر الاسلام نام مناسب اور درست ہے، اور اس کی صحیح انگریزی اسپیلنگ اس طرح ہے (ZAHEER UL ISLAM)، اور ZAHIR بھی مستعمل اور درست ہے۔</p><p></p><br><span style=""font-size:1.2em"">
								<p><strong>واللہ تعالیٰ اعلم</strong></p>
								<br class=""clear"">
								<p><strong>دارالافتاء،</strong><br>دارالعلوم دیوبند</p>
							</span>",603811,deoband,متفرقات,اسلامی نام
