link,dar_ul_ifta,title,issued_at,question,answer
https://www.suffahpk.com/motor-cycle-par-do-sai-ziadah-aadmiyou-ka-sawar-hona/,darul-uloom-karachi-via-suffah,موٹر سائیکل  پر دو سے زیادہ آدمیوں کا سوار ہونا,"July 8, 2017","<p style=""direction: rtl;""><span style=""font-size: 18pt; color: #800000;"">دارالعلوم کراچی فتویٰ نمبر:55</span></p><p style=""direction: rtl;""><span style=""font-size: 14pt; color: #000000;"">سوال: موٹر سائیکل پر تین  چار آدمیوں کا ایک ساتھ  سوار  ہونا  شرعا کیسا ہے  ؟عموم بلوی  کی وجہ سے اس کی اجازت ہوسکتی ہے یا نہیں  ؟</span></p><p style=""direction: rtl;""><span style=""font-size: 14pt; color: #000000;"">الجواب باسم ملہم الصواب</span></p><p style=""direction: rtl;""><span style=""font-size: 14pt; color: #000000;"">اس میں دو پہلو ہیں ایک یہ کہ  دو سے زیادہ افراد  کا موٹر  سائیکل پرسوار ہونا  ٹریفک  کے قوانین  کی رو سے  ممنوع ہے ۔ ٹریفک  رولز عوام کے مفاد کے لیے بنائے گئے ہیں ۔ اس لیے شرعا ان قوانین  کی پابندی ضروری  ہے ۔ ٹریفک  رولز کے  مطابق  موٹر سائیکل  پر دوآدمی بیٹھ سکتےہیں ۔ لہذا روڈ  پر چلاتے  ہوئے موٹر سائیکل  پر دوآدمیوں  سے زیادہ بیٹھنا قانونا اورشرعا درست نہیں ۔</span></p><p style=""direction: rtl;""><span style=""font-size: 14pt; color: #000000;"">دوسرا پہلو یہ ہے کہ دوآدمی  اس طرح ایک  دوسرے سے  بدن ملادیں  کہ دونوں  کے درمیان  بالکل فاصلہ  نہ ہو اس کا حکم  یہ ہے  کہ اگر دونوں  کے درمیان ایسے موٹے  کپڑوں کا فاصلہ  ہو   جو ایک کے بدن  کی حرارت  کو دوسرے  سے  روک دیتا  ہو تو جب  شہوت  کا خطرہ نہ ہو تو جائز  ہے اوراگر  شہوت کا خطرہ ہو  یا کپرے  ایسے باریک  ہوں  کہ ایک دوسرے کے بدن  کی حرارت  محسوس کی جاسکتی ہو تو ایسی صورت  میں موٹر سائیکل پر اس طرح بیٹھنا  کہ ستر کے اعضا ایکدوسرے سے مل جائیں  جائز نہیں ۔</span></p><p style=""direction: rtl;""><span style=""font-size: 14pt; color: #000000;"">شرح السیر  الکبیر  ( ج 4/ ص 171 )</span></p><p style=""direction: rtl;""><span style=""font-size: 14pt; color: #000000;"">الموافقات (ج 2/ ص 52 )</span></p><p style=""direction: rtl;""><span style=""font-size: 14pt; color: #000000;"">دارالافتاء جامعہ دارالعلوم کراچی</span></p>",
https://www.suffahpk.com/kabotar-bazi-ka-hukum/,darul-uloom-karachi-via-suffah, کبوتر بازی کا حکم,"July 8, 2017","<p style=""direction: rtl;""><span style=""font-size: 18pt; color: #800000;"">دارالعلوم کراچی فتویٰ نمبر:54</span></p><p style=""direction: rtl;""><span style=""font-size: 14pt; color: #000000;""> سوال:  کبوتر بازی کا کیا حکم  ہے شرعی  نقطہ نظر  میں وضاحت  کریں ۔</span></p><p style=""direction: rtl;""><span style=""font-size: 14pt; color: #000000;""> الجواب  باسم ملہم الصواب</span></p><p style=""direction: rtl;""><span style=""font-size: 14pt; color: #000000;""> کبوتر  بازی میں ایک تووقت کا ضیاع  ہے کبھی جان  کا خطرہ  بھی ہوتا ہے  ۔چھت  سے گرنے کے واقعات  پیش آتے رہتے ہیں  ۔ بڑی خرابی  یہ ہے کہ  لوگوں  کے گھروں  کی بے پردگی  ہوتی ہے ۔ا سی وجہ سے  رسول اللہ ﷺ نے ایسے شخص کو  شیطان  قرار دیاہے  ۔ البتہ  کبوتر  پالنا  جائز   ہے بشرطیکہ  ان کی  خوراک  وراحت کا خیال  رکھاجائے ۔</span></p><p style=""direction: rtl;""><span style=""font-size: 14pt; color: #000000;""> عن ابی ھریرۃ  رضی اللہ عنہ ان رسول اللہ ﷺ رای رجلا یتبع  حمامۃ فقال شیطان  یتبع  شیطانۃ ( ابو داؤد 2/194 )</span></p><p style=""direction: rtl;""><span style=""font-size: 14pt; color: #000000;"">عربی حوالہ جات اور مکمل فتویٰ پی ڈی ایف فائل میں حاصل کرنے کے لیے دیے گئے لنک پر کلک کریں :</span></p><p style=""direction: rtl;""><a href=""https://www.facebook.com/groups/497276240641626/500028570366393/"">https://www.facebook.com/groups/497276240641626/500028570366393/</a></p><p style=""direction: rtl;""><span style=""font-size: 14pt; color: #000000;""> دارالافتاء جامعہ  دارالعلوم کراچی</span></p>",
https://www.suffahpk.com/falkiyat-uloom-or-hisab-k-zariy-royat-hilala/,darul-uloom-karachi-via-suffah,فلکیاتی  علوم اور حساب  کے ذریعہ  رؤیت  ہلال,"July 8, 2017","<p style=""direction: rtl;""><span style=""font-size: 14pt; color: #000000;""> <span style=""font-size: 18pt; color: #800000;"">دارالعلوم کراچی فتویٰ نمبر:53</span></span></p><p style=""direction: rtl;""><span style=""font-size: 14pt; color: #000000;"">سوال: موجودہ دور  میں اگر ماہرین  فلکیات  اس بات  پر متفق  ہوں کہ  آج چاند کی ولادت نہیں ہوئی یا چاند کا نظر آنا ناممکن  ہے تو اس صورت  میں گواہوں  کی گواہی معتبر ہوگی یا نہیں ؟</span></p><p style=""direction: rtl;""><span style=""font-size: 14pt; color: #000000;"">الجواب  باسم ملہم الصواب</span></p><p style=""direction: rtl;""><span style=""font-size: 14pt; color: #000000;"">اسلام کا اصول  سادہ اور فطری  ہے اس نے مختلف  عبادتوں  کی ادائیگی  کے لیے ایسے چیزوں  کو معیار  بنایا ہے  جن کا سمجھنا  اور جاننا  ہر عام وخاص کو معیار  قرار دیاہے  ۔لہذا جمہور  فقہاء س کا اس  پرا تفاق ہے کہ فلکیاتی   علوم اور حساب  سے عید اوررمضان  کا فیصلہ  کرلینا  درست نہیں ۔البتہ  فلکیاتی  تحقیق  سے اس قدر فائدہ  اٹھایا جاسکتا ہے کہ جس  دن  طلوع  ہلال کا امکان  نہ ہو اس  دن رؤیت  ہلال کی شہادت  کافی تحقیق اور ناقابل  تردید  تعداد کی گواہی   کے بغیر  تسلیم نہ کی جائے  اور فنی معلومات  سے مدد لیتے  ہوئے ان  کا فنی  تزکیہ کیا جائے  اور اگر ان  کی بات   بداہت  کے خلاف  ہوتو انہیں  اس کا  خلاف  بداہت  ہونا سمجھا جائے  اور جس دن  فنی اعتبار  سے طلوع  ہلال کے امکان  زیادہ ہو اس دن  معمولی  خبر  پر بھی  اعتبار کیا جاسکتا ہے  لہذا فنی  تحقیقات پر کسی  حکم کا مدار تو نہیں البتہ  حکم  کی تقویت  اور تائید میں مؤثر  ہوسکتی ہیں ۔</span></p><p style=""direction: rtl;""><span style=""font-size: 14pt; color: #000000;"">ردالمختار  ( ج 7/ ص 365 )</span></p><p style=""direction: rtl;""><span style=""font-size: 14pt; color: #000000;"">دارالافتاء دارالعلوم کراچی</span></p><p style=""direction: rtl;""><span style=""font-size: 14pt; color: #000000;""> </span></p>",
https://www.suffahpk.com/electration-par-tawan/,darul-uloom-karachi-via-suffah,الیکٹریشن پر تاوان,"July 8, 2017","<p style=""direction: rtl;""><span style=""font-size: 14pt; color: #000000;"">سوال: گھر میں الیکٹریشن کاکام کروانے کے لیے ایک کاریگر کو لایا، اس نے کام  کے دور ان کچھ لائٹس وغیرہ توڑدیں تو اب اس سے اس کا  تاوان لے سکتے ہیں یا نہیں ؟</span></p><p style=""direction: rtl;""><span style=""font-size: 14pt; color: #000000;""> الجواب باسم ملہم الصواب</span></p><p style=""direction: rtl;""><span style=""font-size: 14pt; color: #000000;""> صورت مذکورہ میں چونکہ الیکٹریشن  کے اپنے فعل سے لائٹس ٹوٹے ہیں اس لئے اس پر  تاوان  لازم ہے۔</span></p><p style=""direction: rtl;""><span style=""font-size: 14pt; color: #000000;""> المبسوط للسرخسی ( ج 15 / ص 147 )</span></p><p style=""direction: rtl;""><span style=""font-size: 14pt; color: #000000;"">واللہ اعلم بالصواب</span></p><p style=""direction: rtl;""><span style=""font-size: 14pt; color: #000000;"">دارالافتاء  جامعہ دارالعلوم کراچی</span></p><p style=""direction: rtl;""><span style=""font-size: 14pt; color: #000000;"">عربی حوالہ جات اور مکمل فتویٰ پی ڈی ایف فائل میں حاصل کرنے کے لیے دیے گئے لنک پر کلک کریں :</span></p><p style=""direction: rtl;""><a href=""https://www.facebook.com/groups/497276240641626/498335943868989/"">https://www.facebook.com/groups/497276240641626/498335943868989/</a></p>",
https://www.suffahpk.com/chori-kiy-gay-maal-ko-wapis-karna/,darul-uloom-karachi-via-suffah,چوری کئے گئے مال کو واپس کرنا,"July 6, 2017","<p style=""direction: rtl;""><span style=""font-size: 18pt; color: #800000;"">دارالعلوم کراچی فتویٰ نمبر:53</span></p><p style=""direction: rtl;""><span style=""font-size: 14pt; color: #000000;""> سوال: زید نے دینی زندگی اختیار کرنے سے پہلے  فسق وفجور  کی حالت میں  گینگ کے ساتھ مل کر یا اکیلے عوام  الناس یا حکومتی  املاک کو نقصان  پہنچایا ، یا چوری کی ، اسی طرح  جھگڑے  کئے ، کسی کو مارا یا معذور کیا۔ اب توبہ  کرنے کے بعد جبکہ وہ ان  لوگوں کو پہچانتا نہیں یا جن کو  پہچانتا ہے ان  تک پہنچنا  ممکن نہیں ،ا ن کی تلافی کیا صورت ہے ؟ اور جن کو  پہچانتا ہے کہ میں نے ان کا نقصان کیا یا  چوری کی  ان سے  حقوق معاف کروانے کی کیا صورت ہے؟</span></p><p style=""direction: rtl;""><span style=""font-size: 14pt; color: #000000;"">الجواب حامداومصلیا</span></p><p style=""direction: rtl;""><span style=""font-size: 14pt; color: #000000;"">  چوری کرنے والا جن لوگوں کوجانتا ہے  اورا ن لوگوں تک پہنچنا بھی ممکن ہے  تو ان سے معافی مانگنا اور ان سے جو کچھ  چوری کیاہے  اگر وہی  چیز  بعینہ موجودہو تو وہی چیز لوٹانا ضروری ہے  ورنہ اس کی قیمت  لوٹانا ضروری ہے جس کے لیے  ہدیہ کا  عنوان  بھی اختیار کیا جاسکتا ہے  البتہ  اگر وہ چوری کرنے والے کو معاف کردیں اور پیسے  نہ مانگیں تو کوئی حرج نہیں اور جن لوگوں کو وہ جانتا نہیں ، یا جانتا ہے لیکن ان تک پہنچنا ناممکن ہے ان کے چوری  کئے گئے مال  کے بقدر رقم صدقہ کرنا ضروری ہے ۔</span></p><p style=""direction: rtl;""><span style=""font-size: 14pt; color: #000000;"">دارالافتاء دارالعلوم کراچی</span></p><p style=""direction: rtl;""><span style=""font-size: 14pt; color: #000000;""> عربی حوالہ جات اور مکمل فتویٰ پی ڈی ایف فائل میں حاصل کرنے کے لیے دیے گئے لنک پر کلک کریں :</span></p><p style=""direction: rtl;""><span style=""color: #000000;""><a href=""https://www.facebook.com/groups/497276240641626/498329187202998/"">https://www.facebook.com/groups/497276240641626/498329187202998/</a></span></p>",
https://www.suffahpk.com/assalatu-wassalamo-alaika-ya-rasolullah-durood-tunjena-durid-mahi-durood-mahi-parhny-ka-hukum/,darul-uloom-karachi-via-suffah,الصلوۃ والسلام  علیک یا رسول اللہ ،دورد تنجینا ، درود ماہی، درودتاج پڑھنے کا حکم,"July 6, 2017","<p style=""text-align: right;""><span style=""font-size: 18pt; color: #800000;"">دارالعلوم کراچی فتویٰ نمبر:52</span></p><p style=""direction: rtl;""><span style=""font-size: 14pt; color: #000000;"">سوال:الصلوۃ والسلام  علیک یا رسول اللہ ،دورد تنجینا ، درود ماہی، درودتاج پڑھنا جائز ہے یا حرام ؟ کیونکہ    اس میں شرکیہ الفاظ تو نہیں ہے ، مدینہ منورہ میں حضور ﷺ  کی قبر  مبارک پر  الصلاۃ والسلام  بھی پڑھتے ہیں ، قبرستان  میں یااھل القبور بھی پڑھتےہیں ۔ بعض لوگ کہتے ہیں کہ جائز نہیں ، شرعاًا س کا پڑھنا کیسا ہے  ؟</span></p><p style=""direction: rtl;""><span style=""font-size: 14pt; color: #000000;"">الجواب باسم ملہم الصواب</span></p><p style=""direction: rtl;""><span style=""font-size: 14pt; color: #000000;""> الصلاۃ والسلام  علیک  یارسول اللہ  کے الفاظ اگر حاضر ناظر کے عقیدے  سے کہے  جائیں  تو پھر یہ شرک ہے  اور اگر حاضر  ناظر کے عقیدے کے بغیر کہے جائیں تو اگر چہ فی نفسہ اس کی گنجائش ہے مگر  غلط لوگوں کا  طریقہ ہونے  کی وجہ سے  اس احتراز کیاجائے ۔</span></p><p style=""direction: rtl;""><span style=""font-size: 14pt; color: #000000;""> درود تنجینا ہمارے بعض بزرگوں سے منقول ہے لہذا اس کے پڑھنے میں کوئی حرج نہیں ، تاہم منقول درود ابراہیمی پڑھنا زیادہ بہتر ہے،درود تاج  میں  بعض  الفاظ شرکیہ  ہے ۔ لہذا اس سے احتراز لازم ہے  اور دور ماہی  کی حقیقت   ہمیں معلوم نہیں ۔ تاہم اگر  اس میں شرکیہ الفاظ نہیں تو جائز ہے اگر چہ بہتر درود ابراہیمی ہے۔</span></p><p style=""direction: rtl;""><span style=""font-size: 14pt; color: #000000;"">واللہ سبحانہ وتعالیٰ</span></p><p style=""direction: rtl;""><span style=""font-size: 14pt; color: #000000;"">دارالافتاء جامعہ دارالعلوم کراچی</span></p><p style=""direction: rtl;"">عربی حوالہ جات اور مکمل فتویٰ پی ڈی ایف فائل میں حاصل کرنے کے لیے دیے گئے لنک پر کلک کریں :</p><p style=""direction: rtl;""><a href=""https://www.facebook.com/groups/497276240641626/521791458190104/"">https://www.facebook.com/groups/497276240641626/521791458190104/</a></p>",
https://www.suffahpk.com/billi-k-kharedwa-farokht-ka-hukum/,darul-uloom-karachi-via-suffah,بلی کے خریدوفروخت کا حکم,"May 7, 2017","<p style=""direction: rtl;""><span style=""font-size: 18pt; color: #800000;"">دارالعلوم کراچی فتویٰ نمبر:51</span></p><p style=""direction: rtl;""><span style=""font-size: 14pt; color: #000000;"">سوال:بلی کی خریدوفروخت کا کیا حکم ہے ؟</span></p><p style=""direction: rtl;""><span style=""font-size: 14pt; color: #000000;""> جواب : جمہور صحابہ وتابعین  اور ائمہ اربعہ رحمہم اللہ  کے نزدیک  بلی کی خرید وفروخت جائز ہے اور جس حدیث سے بلی کی خرید وفروخت کی ممانعت معلوم  ہوتی ہے  اس کی سب سے  بہترین توجیہ یہ ہے کہ وہ کراہت  تنزیہی پر محمول  ہے لہذا سوال میں ذکر کردہ  بلیوں کی خریدوفروخت کی  شرعاً گنجائش ہے ۔</span></p><p style=""direction: rtl;""><span style=""font-size: 14pt; color: #000000;"">صحیح مسلم ۔ ( برقم 2933 )</span></p><p style=""direction: rtl;""><span style=""font-size: 14pt; color: #000000;"">وفی تکملۃ فتح  الملھم ( 1/534 )</span></p><p style=""direction: rtl;""><span style=""font-size: 14pt; color: #000000;"">ردالمختار ۔ ( 19/278)</span></p><p style=""direction: rtl;""><span style=""font-size: 14pt; color: #000000;"">بدائع الصنائع۔ ( 5/142)</span></p><p style=""direction: rtl;""><span style=""font-size: 14pt; color: #000000;"">المجموع ۔ (9/229)</span></p><p style=""direction: rtl;""><span style=""font-size: 14pt; color: #000000;"">الموسوعۃ الفقھیہ الکویتیہ ۔ ( 42/266)</span></p><p style=""direction: rtl;""><span style=""font-size: 14pt; color: #000000;"">دارالافتاء جامعہ دارالعلوم کراچی</span></p><p style=""direction: rtl;""></p>",
https://www.suffahpk.com/g-p-fand-ka-sharai-hukum/,darul-uloom-karachi-via-suffah, جی  پی  فنڈ کا شرعی حکم,"May 7, 2017","<p style=""direction: rtl;""><span style=""font-size: 18pt; color: #800000;"">دارالعلوم کراچی فتویٰ نمبر:49</span></p><p style=""direction: rtl;""><span style=""font-size: 14pt;"">مجیب حضرت مولانا مفتی عبداللہ صاحب</span></p><p style=""direction: rtl;""><span style=""font-size: 14pt;"">دارالافتاء جامعہ دارالعلوم کراچی</span></p><p style=""direction: rtl;""><span style=""font-size: 14pt;"">مصدقہ</span></p><p style=""direction: rtl;""><span style=""font-size: 14pt;"">شیخ الاسلام  حضرت مولانا مفتی تقی عثمانی  صاحب  </span></p><p style=""direction: rtl;""><span style=""font-size: 14pt;""> جامعہ دارالعلوم  کراچی 14</span></p><p style=""direction: rtl;""><span style=""font-size: 14pt;"">جی پی  فنڈ کا  شرعی حکم</span></p><p style=""direction: rtl;""><span style=""font-size: 14pt;""> الجواب حامداومصلیاً</span></p><p style=""direction: rtl;""><span style=""font-size: 14pt;"">اس مسئلہ کے جواب میں کچھ تفصیل  ہے  وہ یہ ہے کہ پراویڈنٹ  فنڈ میں ملازم  کی تنخواہ  سے جو رقم کاٹی جاتی ہے اس کی  دو صورتیں ہیں :</span></p><p style=""direction: rtl;""><span style=""font-size: 14pt;"">1)کہیں جبری  کاٹی جاتی ہے یعنی اس میں ملازم کے اختیار کا کوئی دخل نہیں  ہوتا ، غیر اختیاری  طور پر محکمہ کاٹ لیتا ہے۔</span></p><p style=""direction: rtl;""><span style=""font-size: 14pt;"">2)  اور کہیں اختیاری  طور پر ملازم  کی تنخواہ  سے ایک مخصوص متعین  حصہ محکمہ کاٹتا  ہے ہرصورت کا حکم الگ الگ ہے اور وہ یہ ہے کہ جبری  طور پر  جورقم  کاٹی جاتی ہے وہ اور جو رقم محکمہ  خود اپنی طرف سے دیتا ہے  یہ دو قسم  کی رقمیں تو بلاشبہ  ملازم کےلیے حلال ہیں  اسی طرح محکمہ  اگر ان دونوں  رقموں سے حلال  اور جائز کاروبار  کر کےا س کا نفع ملازم کو دیتا ہے  تو وہ بھی حلال  ہی لیکن اگر کمپنی یا محکمہ  ان دونوں رقموں سے کوئی  حرام اور ناجائز  کاروبار  کر کے اس کا نفع ملازم  کو دیتا ہے تو اس کی پھر دو صورتیں ہیں :۔</span></p><p style=""direction: rtl;""><span style=""font-size: 14pt;"">ایک صورت تویہ ہے کہ محکمہ  یہ نفع  ( جو حرام ہے ) بینک وغیرہ  سے خود وصول کرے اور اپنے مرکزی اکاؤنٹ  میں جمع کرے  جب کہ مرکزی  اکاؤنٹ  کا اکثروبیشتر سرمایہ حلال ہو اور  وہاں ملازم کو اپنے  وقت  پرا صل پراویڈنٹ  فنڈیا جی پی فنڈ کے ساتھ  یہ نفع  بھی ملے تو ملازم  کے  حق میں یہ نفع حرام نہیں ہے اور اس کو یہ نفع وصول کرنا جائزہے ۔</span></p><p style=""direction: rtl;""><span style=""font-size: 14pt;"">دوسری صورت  یہ ہے کہ محکمہ  حرام  نفع خود وصول نہ کرے  بلکہ ملازم  خود جاکر بینک  یا انشورنس کمپنی سے  وصول کرے ایسی صورت  میں ملازم  کو یہ حرام نفع  وصول کرنا اور اپنے استعمال میں لانا حلال  نہیں لہذا ملازم  یہ نفع ہر گز وصول  نہ کرے اور اگر غلطی  یا  لاعلمی  سے وصول کرلے  تو مال حرام سے بچنے کی نیت سے کسی غریب  محتاج آدمی کو دیدے  اورآئندہ  وصول بالکل  نہ کرے ۔ اور کمپنی  یا محکمہ  کے لیے بھی ہر حال میں فنڈ کی رقم  کسی حرام  کاروبار کرنے والے ادارے میں لگانا  اور حرام  نفع حاصل کرنا جائز نہیں ۔</span></p><p style=""direction: rtl;""><span style=""font-size: 14pt;"">البتہ اختیاری  طورپر پراویڈنٹ فنڈ میں جو رقم  کٹوائی جائے  اس پر جو رقم محکمہ  بنام سود دے گا اس سے اجتناب  کیاجائے کیونکہ علماء  کی تحقیق  کے مطابق  یہ بعینہ  دود اگرچہ  نہیں ہے تاہم  تشبہ بالرد ضرور موجود  ہےا وراور اس سے سود خوری  کا ذریعہ بن سکتا ہے اسلیے یہ رقم وصول  ہی نہ کرے یا وصول کرنے کےبعد  صدقہ کرے ۔</span></p><p style=""direction: rtl;""><span style=""font-size: 14pt;"">واللہ سبحانہ وتعالیٰ اعلم</span></p><p style=""direction: rtl;""><span style=""font-size: 14pt;"">محمدعبداللہ عفی عنہ  </span></p><p style=""direction: rtl;""><span style=""font-size: 14pt;"">دارالافتاء دارالعلوم  کراچی</span></p><p style=""direction: rtl;""></p>",
https://www.suffahpk.com/rozy-ki-halat-mai-inhelar-k-istimal-ka-hukum/,darul-uloom-karachi-via-suffah,روزہ کی حالت میں انہیلر کے استعمال کا حکم,"April 28, 2017","<p style=""direction: rtl;""><span style=""font-size: 14pt; color: #000000;"">کیا فرماتے ہیں علماء دین ومفتیان کرام اس مسئلہ کے بارے میں کہ روزہ کی حالت میں ( vicks inhaler ) </span></p><p style=""direction: rtl;""><span style=""font-size: 14pt; color: #000000;"">1) انہیلر جسے نزلہ وغیرہ میں سونگھا جاتا ہے مفسد صوم ہے یا نہیں ۔ </span></p><p style=""direction: rtl;""><span style=""font-size: 14pt; color: #000000;"">2) اور آکسیجن (oxygen ) کا پہنچنا مفسد صوم ہے یا نہیں ۔ </span></p><p style=""direction: rtl;""><span style=""font-size: 14pt; color: #000000;"">3) اور دمہ (asthama ) کے علاج کے لیے ( asthametic inhaler ) انہیلر کا استعمال مفسد صوم ہے یا نہیں ۔</span></p><p style=""direction: rtl;""><span style=""font-size: 14pt; color: #000000;"">4) اور بھپارا ( inhalwtion ) جسے ناک کےذریعہ اوپر کی طرف کھینچا جاتا ہے مفسد صوم ہے یا نہیں </span></p><p style=""direction: rtl;""><span style=""font-size: 14pt; color: #000000;"">برائے مہربانی تسلی بخش جواب دیں </span></p><p style=""direction: rtl;""><span style=""font-size: 14pt; color: #000000;"">الجواب حامداومصلیا </span></p><p style=""direction: rtl;""><span style=""font-size: 14pt; color: #000000;"">1۔ عام انہیلر کے بارے میں ماہرین فن یہ کہتے ہیں کہ اس کےا سپرے کے ذرات حلق تک پہنچ جاتے ہیں اور چونکہ حالت روزہ میں دوا یا غذا حلق تک پہنچنے سے روزہ ٹوٹ جاتا ہے اس لیے ایسے انہیلر کے اسپرے سے روزہ ٹوٹ جائے گا ۔ ( ماخذہ التبویب 836/7) </span></p><p style=""direction: rtl;""><span style=""font-size: 14pt; color: #000000;"">2۔ اگر مریض کو دی جانے والی مصنوعی آکسیجن ، عام ہوا میں پائی جانے والی آکسیجن پر ہی مشتمل ہوا وراس میں کسی شکل میں کوئی دوا یا مادی چیز بالکل شامل نہ ہو تو اس سے روزہ فاسد نہیں ہوگا اوراگراس میں کسی بھی شکل میں کوئی دوا یا مادی چیز شامل ہو تو روزہ فاسد ہوجائیگا ۔ ( ماخذہ التبویب بتصرف یسیر 515/75 ) </span></p><p style=""direction: rtl;""><span style=""font-size: 14pt; color: #000000;"">3۔ انہیلر کےاستعمال سے چونکہ دوا کے ذرات حلق تک پہنچ جاتے ہیں لہذا اس کے استعمال سے روزہ ٹوٹ جائے گا ، چاہےاس کا استعمال دمہ کے مریض کے واسطے ہو یا کسی اور مقصد سے ہو۔ البتہ اگر روزہ کی حالت میں دمہ کے مرض کی وجہ سے انہیلر کا استعمال کرنا پڑجائے تواس کی وجہ صرف قضاء لازم ہوگی کفارہ واجب نہیں ہوگا ۔</span></p><p style=""direction: rtl;""><span style=""font-size: 14pt; color: #000000;"">واضح رہے کہ بھاپ خود پانی ہے لہذاروزہ کی حالت میں بھاپ خود بزریعہ ناک لی جائے یا بذریعہ منہ ، دونوں صورتوں میں اگر پانی حلق تک پہنچ گیا توروزہ فاسد ہوجائیگا ۔ ( ماخذہ التبویب 452/ 40) </span></p><p style=""direction: rtl;""><span style=""font-size: 14pt; color: #000000;"">لما فی الشامیۃ 2/417 ) </span></p><p style=""direction: rtl;""><span style=""font-size: 14pt; color: #000000;"">وفی الدر المختار 2/422 ) </span></p><p style=""direction: rtl;""><span style=""font-size: 14pt; color: #000000;"">دارالافتاء دا</span>رالعلوم کراچی</p>",
https://www.suffahpk.com/chand-girhan-ki-namaz-bajamat-parhny-ka-hukum/,darul-uloom-karachi-via-suffah,چاند گرہن کی نماز باجماعت پڑھنے کا حکم,"April 28, 2017","<p style=""direction: rtl;""><span style=""color: #000000; font-size: 14pt;""> <span style=""font-size: 18pt; color: #800000;"">دارالعلوم کراچی فتویٰ نمبر:50</span></span></p><p style=""direction: rtl;""><span style=""color: #000000; font-size: 14pt;"">سوال: کیا چاند گرہن  کی نماز باجماعت ثابت ہے ؟</span></p><p style=""direction: rtl;""><span style=""color: #000000; font-size: 14pt;"">الجواب حامداومصلیا ً</span></p><p style=""direction: rtl;""><span style=""color: #000000; font-size: 14pt;""> خسوف  ( چاند گرہن  ) کے وقت دورکعت  نماز پڑھنا مسنون  ہے مگر  اس میں جماعت  مسنون  نہیں سب لوگ  تنہا علیحدہ علیحدہ  نماز پڑھیں  اورا پنے اپنے گھروں  میں پڑھیں  مسجد میں جانا  بھی مسنون نہیں ۔آنحضرت ﷺ سے بھی چاند گرہن  کی نماز  منفرداً ہی پڑھنا  ثابت ہے کسی صحیح  روایت  سے اس کی جماعت ثابت نہیں یہی احناف  کا مذہب ہے۔</span></p><p style=""direction: rtl;""><span style=""color: #000000; font-size: 14pt;"">واللہ اعلم بالصواب</span></p><p style=""direction: rtl;""><span style=""color: #000000; font-size: 14pt;""> دارالافتاء جامعہ دارالعلوم کراچی </span></p><p style=""direction: rtl;""><span style=""color: #000000; font-size: 14pt;"">عربی حوالہ جات اور مکمل فتویٰ   پی ڈی ایف فائل  میں حاصل کرنے کے لیے دیے گئے لنک پر کلک کریں :</span></p><p style=""direction: rtl;""><span style=""font-size: 14pt; color: #000000;""><a href=""https://www.facebook.com/groups/497276240641626/498321477203769/"">https://www.facebook.com/groups/497276240641626/498321477203769/</a></span></p>",
